population	param	heritability
1171rice	0.00001	0.211227
1171rice	0.00005	0.211939
1171rice	0.0001	0.214135
1171rice	0.0005	0.185934
1171rice	0.001	0.199645
1171rice	0.005	0.236513
1171rice	0.01	0.24127
1171rice	0.015	0.267236
1171rice	0.02	0.303846
1171rice	0.025	0.216917
1171rice	0.03	0.279237
1171rice	0.035	0.235563
1171rice	0.04	0.254867
1171rice	0.045	0.182601
1171rice	0.05	0.173575
705rice	0.00001	0.40214
705rice	0.00005	0.397839
705rice	0.0001	0.378686
705rice	0.0005	0.404263
705rice	0.001	0.40587
705rice	0.005	0.408617
705rice	0.01	0.396936
705rice	0.015	0.440323
705rice	0.02	0.482308
705rice	0.025	0.468273
705rice	0.03	0.539482
705rice	0.035	0.454859
705rice	0.04	0.480625
705rice	0.045	0.516423
705rice	0.05	0.50016
