FID	IID	BGWP_YangZ15
1701	1701	0.54
1702	1702	1.03
1703	1703	0.53
1704	1704	0.27
1705	1705	0.35
1706	1706	0.16
1707	1707	0.24
1708	1708	NA
1709	1709	NA
1710	1710	0.3
1711	1711	0.19
1712	1712	0.21
1713	1713	0.27
1714	1714	NA
1715	1715	0.46
1716	1716	0.18
1717	1717	0.45
1718	1718	NA
1719	1719	NA
1720	1720	NA
1721	1721	0.35
1722	1722	0.81
1723	1723	0.59
1724	1724	0.22
1725	1725	0.29
1726	1726	0.12
1727	1727	0.53
1728	1728	NA
1729	1729	0.39
1730	1730	NA
1731	1731	NA
1732	1732	NA
1733	1733	0.26
1734	1734	NA
1735	1735	NA
1736	1736	NA
1737	1737	0.54
1738	1738	0.34
1739	1739	NA
1740	1740	NA
1741	1741	0.45
1742	1742	NA
1743	1743	NA
1744	1744	0.3
1745	1745	NA
1746	1746	0.21
1747	1747	0.31
1748	1748	0.41
1749	1749	0.55
1750	1750	0.1
1751	1751	1.61
1752	1752	0.16
1753	1753	0.25
1754	1754	0.15
1755	1755	0.34
1756	1756	0.35
1757	1757	NA
1758	1758	0.19
1759	1759	NA
1760	1760	0.53
1761	1761	0.46
1762	1762	1.34
1763	1763	NA
1764	1764	0.17
1765	1765	0.63
1766	1766	0.08
1767	1767	NA
1768	1768	NA
1769	1769	0.26
1770	1770	0.85
1771	1771	0.32
1772	1772	0.94
1773	1773	0.82
1774	1774	1.94
1775	1775	0.16
1776	1776	0.63
1777	1777	1.03
1778	1778	0.89
1779	1779	0.52
1780	1780	NA
1781	1781	NA
1783	1783	0.7
1784	1784	1.99
1787	1787	NA
1788	1788	0.35
1789	1789	0.8
1790	1790	1.13
1791	1791	0.77
1792	1792	0.12
1793	1793	0.8
1794	1794	0.68
1795	1795	0.69
1796	1796	0.58
1797	1797	0.44
1798	1798	0.46
1800	1800	1.49
1802	1802	1.71
1804	1804	1.24
1805	1805	0.72
1806	1806	NA
1808	1808	0.42
1809	1809	NA
1810	1810	NA
1811	1811	0.16
1812	1812	NA
1813	1813	NA
EZ5	EZ5	0.94
GS179	GS179	NA
GS190	GS190	NA
GS193	GS193	NA
GS202	GS202	NA
GS208	GS208	NA
GS209	GS209	NA
GS210	GS210	NA
GS211	GS211	NA
GS212	GS212	NA
GS217	GS217	NA
GS218	GS218	NA
GS228	GS228	NA
GS230	GS230	NA
GS232	GS232	NA
GS233	GS233	NA
GS234	GS234	NA
GS235	GS235	NA
L10	L10	0.45
L11	L11	0.48
L1	L1	NA
L13	L13	NA
L14	L14	NA
L15	L15	NA
L16	L16	NA
L17	L17	0.48
L18	L18	0.76
L19	L19	NA
L20	L20	0.5
L21	L21	NA
L2	L2	NA
L22	L22	1.33
L23	L23	1.04
L24	L24	NA
L25	L25	0.29
L26	L26	NA
L27	L27	0.49
L28	L28	1.09
L29	L29	0.53
L3	L3	NA
L4	L4	NA
L5	L5	0.37
L6	L6	1.38
L7	L7	NA
L8	L8	NA
L9	L9	0.59
wyj30	wyj30	0.61
Y10	Y10	0.14
Y104	Y104	0.37
Y105	Y105	0.13
Y106	Y106	NA
Y107	Y107	0.47
Y108	Y108	0.21
Y109	Y109	0.34
Y110	Y110	0.21
Y11	Y11	0.13
Y114	Y114	0.23
Y1	Y1	0.32
Y121	Y121	0.55
Y12	Y12	0.2
Y123	Y123	0.22
Y125	Y125	0.4
Y131	Y131	0.19
Y13	Y13	0.21
Y14	Y14	0.16
Y15	Y15	0.3
Y17	Y17	0.13
Y18	Y18	0.16
Y19	Y19	0.09
Y20	Y20	0.18
Y210	Y210	NA
Y21	Y21	0.25
Y219	Y219	0.34
Y2	Y2	0.13
Y220	Y220	NA
Y22	Y22	0.15
Y229	Y229	0.11
Y23	Y23	0.4
Y24	Y24	0.29
Y243	Y243	0.25
Y244	Y244	0.07
Y245	Y245	0.11
Y246	Y246	0.11
Y247	Y247	0.18
Y248	Y248	NA
Y249	Y249	NA
Y250	Y250	NA
Y251	Y251	0.61
Y25	Y25	0.55
Y252	Y252	NA
Y253	Y253	0.14
Y254	Y254	0.14
Y255	Y255	NA
Y256	Y256	0.33
Y257	Y257	NA
Y3	Y3	0.28
Y4	Y4	0.31
Y42	Y42	0.52
Y5	Y5	0.29
Y6	Y6	0.19
Y7	Y7	0.23
Y8	Y8	0.24
Y86	Y86	0.38
Y87	Y87	0.14
Y88	Y88	0.37
Y90	Y90	0.39
Y91	Y91	0.17
Y9	Y9	0.1
Y92	Y92	0.19
Y94	Y94	0.29
Y95	Y95	0.18
Y96	Y96	0.16
Y97	Y97	0.17
Y99	Y99	0.21
yangzhou_199_100	yangzhou_199_100	0.41
yangzhou_199_101	yangzhou_199_101	0.19
yangzhou_199_10	yangzhou_199_10	0.14
yangzhou_199_102	yangzhou_199_102	0.17
yangzhou_199_103	yangzhou_199_103	0.13
yangzhou_199_104	yangzhou_199_104	0.05
yangzhou_199_105	yangzhou_199_105	0.21
yangzhou_199_106	yangzhou_199_106	0.35
yangzhou_199_107	yangzhou_199_107	0.12
yangzhou_199_108	yangzhou_199_108	0.43
yangzhou_199_109	yangzhou_199_109	0.11
yangzhou_199_110	yangzhou_199_110	0.16
yangzhou_199_111	yangzhou_199_111	0.4
yangzhou_199_11	yangzhou_199_11	0.18
yangzhou_199_112	yangzhou_199_112	0.23
yangzhou_199_113	yangzhou_199_113	0.9
yangzhou_199_114	yangzhou_199_114	2.24
yangzhou_199_115	yangzhou_199_115	1.29
yangzhou_199_116	yangzhou_199_116	0.96
yangzhou_199_117	yangzhou_199_117	3.02
yangzhou_199_118	yangzhou_199_118	1.26
yangzhou_199_119	yangzhou_199_119	2.28
yangzhou_199_1	yangzhou_199_1	0.13
yangzhou_199_120	yangzhou_199_120	1.42
yangzhou_199_121	yangzhou_199_121	1.65
yangzhou_199_12	yangzhou_199_12	0.11
yangzhou_199_122	yangzhou_199_122	3.44
yangzhou_199_123	yangzhou_199_123	0.19
yangzhou_199_124	yangzhou_199_124	4.01
yangzhou_199_125	yangzhou_199_125	5.64
yangzhou_199_126	yangzhou_199_126	1.47
yangzhou_199_127	yangzhou_199_127	2.17
yangzhou_199_128	yangzhou_199_128	1.41
yangzhou_199_129	yangzhou_199_129	0.43
yangzhou_199_130	yangzhou_199_130	0.43
yangzhou_199_131	yangzhou_199_131	0.75
yangzhou_199_13	yangzhou_199_13	0.14
yangzhou_199_132	yangzhou_199_132	1.6
yangzhou_199_133	yangzhou_199_133	0.39
yangzhou_199_134	yangzhou_199_134	0.26
yangzhou_199_135	yangzhou_199_135	1.59
yangzhou_199_136	yangzhou_199_136	0.8
yangzhou_199_137	yangzhou_199_137	0.85
yangzhou_199_138	yangzhou_199_138	1.7
yangzhou_199_139	yangzhou_199_139	0.71
yangzhou_199_140	yangzhou_199_140	0.34
yangzhou_199_141	yangzhou_199_141	0.86
yangzhou_199_14	yangzhou_199_14	0.19
yangzhou_199_142	yangzhou_199_142	1.65
yangzhou_199_143	yangzhou_199_143	4.37
yangzhou_199_144	yangzhou_199_144	1.99
yangzhou_199_145	yangzhou_199_145	0.74
yangzhou_199_146	yangzhou_199_146	1.12
yangzhou_199_147	yangzhou_199_147	0.59
yangzhou_199_148	yangzhou_199_148	0.19
yangzhou_199_149	yangzhou_199_149	0.38
yangzhou_199_150	yangzhou_199_150	1.06
yangzhou_199_151	yangzhou_199_151	1.51
yangzhou_199_15	yangzhou_199_15	0.19
yangzhou_199_152	yangzhou_199_152	0.99
yangzhou_199_153	yangzhou_199_153	0.46
yangzhou_199_154	yangzhou_199_154	1.24
yangzhou_199_155	yangzhou_199_155	1.52
yangzhou_199_156	yangzhou_199_156	0.17
yangzhou_199_157	yangzhou_199_157	0.54
yangzhou_199_158	yangzhou_199_158	0.26
yangzhou_199_159	yangzhou_199_159	0.49
yangzhou_199_160	yangzhou_199_160	0.24
yangzhou_199_161	yangzhou_199_161	0.14
yangzhou_199_16	yangzhou_199_16	0.39
yangzhou_199_162	yangzhou_199_162	0.18
yangzhou_199_163	yangzhou_199_163	0.42
yangzhou_199_164	yangzhou_199_164	0.19
yangzhou_199_165	yangzhou_199_165	0.09
yangzhou_199_166	yangzhou_199_166	0.15
yangzhou_199_167	yangzhou_199_167	0.16
yangzhou_199_168	yangzhou_199_168	NA
yangzhou_199_169	yangzhou_199_169	1.21
yangzhou_199_170	yangzhou_199_170	0.3
yangzhou_199_171	yangzhou_199_171	0.87
yangzhou_199_17	yangzhou_199_17	0.24
yangzhou_199_172	yangzhou_199_172	0.47
yangzhou_199_173	yangzhou_199_173	0.23
yangzhou_199_174	yangzhou_199_174	3.17
yangzhou_199_175	yangzhou_199_175	1.02
yangzhou_199_176	yangzhou_199_176	1.5
yangzhou_199_177	yangzhou_199_177	0.42
yangzhou_199_178	yangzhou_199_178	0.37
yangzhou_199_179	yangzhou_199_179	0.72
yangzhou_199_180	yangzhou_199_180	0.17
yangzhou_199_181	yangzhou_199_181	0.41
yangzhou_199_18	yangzhou_199_18	0.11
yangzhou_199_182	yangzhou_199_182	0.69
yangzhou_199_183	yangzhou_199_183	0.32
yangzhou_199_184	yangzhou_199_184	0.13
yangzhou_199_185	yangzhou_199_185	0.2
yangzhou_199_186	yangzhou_199_186	0.23
yangzhou_199_187	yangzhou_199_187	0.52
yangzhou_199_188	yangzhou_199_188	0.38
yangzhou_199_189	yangzhou_199_189	0.81
yangzhou_199_190	yangzhou_199_190	0.27
yangzhou_199_191	yangzhou_199_191	1.64
yangzhou_199_19	yangzhou_199_19	0.33
yangzhou_199_192	yangzhou_199_192	1.04
yangzhou_199_193	yangzhou_199_193	0.26
yangzhou_199_194	yangzhou_199_194	0.46
yangzhou_199_195	yangzhou_199_195	0.57
yangzhou_199_196	yangzhou_199_196	1.99
yangzhou_199_197	yangzhou_199_197	0.45
yangzhou_199_198	yangzhou_199_198	0.19
yangzhou_199_199	yangzhou_199_199	1.14
yangzhou_199_20	yangzhou_199_20	3.02
yangzhou_199_21	yangzhou_199_21	0.51
yangzhou_199_2	yangzhou_199_2	0.09
yangzhou_199_22	yangzhou_199_22	0.12
yangzhou_199_23	yangzhou_199_23	0.31
yangzhou_199_24	yangzhou_199_24	0.3
yangzhou_199_25	yangzhou_199_25	0.55
yangzhou_199_26	yangzhou_199_26	0.7
yangzhou_199_27	yangzhou_199_27	0.12
yangzhou_199_28	yangzhou_199_28	0.81
yangzhou_199_29	yangzhou_199_29	0.1
yangzhou_199_30	yangzhou_199_30	0.78
yangzhou_199_31	yangzhou_199_31	0.12
yangzhou_199_3	yangzhou_199_3	0.14
yangzhou_199_32	yangzhou_199_32	0.21
yangzhou_199_33	yangzhou_199_33	0.34
yangzhou_199_34	yangzhou_199_34	NA
yangzhou_199_35	yangzhou_199_35	NA
yangzhou_199_36	yangzhou_199_36	2.07
yangzhou_199_37	yangzhou_199_37	0.71
yangzhou_199_38	yangzhou_199_38	0.14
yangzhou_199_39	yangzhou_199_39	0.22
yangzhou_199_40	yangzhou_199_40	0.47
yangzhou_199_41	yangzhou_199_41	0.22
yangzhou_199_4	yangzhou_199_4	0.15
yangzhou_199_42	yangzhou_199_42	0.14
yangzhou_199_43	yangzhou_199_43	0.05
yangzhou_199_44	yangzhou_199_44	0.25
yangzhou_199_45	yangzhou_199_45	0.4
yangzhou_199_46	yangzhou_199_46	NA
yangzhou_199_47	yangzhou_199_47	0.49
yangzhou_199_48	yangzhou_199_48	NA
yangzhou_199_49	yangzhou_199_49	1.03
yangzhou_199_50	yangzhou_199_50	NA
yangzhou_199_51	yangzhou_199_51	0.27
yangzhou_199_5	yangzhou_199_5	0.24
yangzhou_199_52	yangzhou_199_52	NA
yangzhou_199_53	yangzhou_199_53	0.36
yangzhou_199_54	yangzhou_199_54	NA
yangzhou_199_55	yangzhou_199_55	NA
yangzhou_199_56	yangzhou_199_56	2.37
yangzhou_199_57	yangzhou_199_57	0.36
yangzhou_199_58	yangzhou_199_58	0.13
yangzhou_199_59	yangzhou_199_59	0.53
yangzhou_199_60	yangzhou_199_60	NA
yangzhou_199_61	yangzhou_199_61	NA
yangzhou_199_6	yangzhou_199_6	0.25
yangzhou_199_62	yangzhou_199_62	0.14
yangzhou_199_63	yangzhou_199_63	1.08
yangzhou_199_64	yangzhou_199_64	NA
yangzhou_199_65	yangzhou_199_65	1.56
yangzhou_199_66	yangzhou_199_66	NA
yangzhou_199_67	yangzhou_199_67	0.65
yangzhou_199_68	yangzhou_199_68	NA
yangzhou_199_69	yangzhou_199_69	0.41
yangzhou_199_70	yangzhou_199_70	0.34
yangzhou_199_71	yangzhou_199_71	0.29
yangzhou_199_7	yangzhou_199_7	0.49
yangzhou_199_72	yangzhou_199_72	0.4
yangzhou_199_73	yangzhou_199_73	0.53
yangzhou_199_74	yangzhou_199_74	0.61
yangzhou_199_75	yangzhou_199_75	0.59
yangzhou_199_76	yangzhou_199_76	1.68
yangzhou_199_77	yangzhou_199_77	0.49
yangzhou_199_78	yangzhou_199_78	0.29
yangzhou_199_79	yangzhou_199_79	0.21
yangzhou_199_80	yangzhou_199_80	0.16
yangzhou_199_81	yangzhou_199_81	0.19
yangzhou_199_8	yangzhou_199_8	0.15
yangzhou_199_82	yangzhou_199_82	0.63
yangzhou_199_83	yangzhou_199_83	0.69
yangzhou_199_84	yangzhou_199_84	0.38
yangzhou_199_85	yangzhou_199_85	0.4
yangzhou_199_86	yangzhou_199_86	0.14
yangzhou_199_87	yangzhou_199_87	0.39
yangzhou_199_88	yangzhou_199_88	0.45
yangzhou_199_89	yangzhou_199_89	1.05
yangzhou_199_90	yangzhou_199_90	0.15
yangzhou_199_91	yangzhou_199_91	2.06
yangzhou_199_9	yangzhou_199_9	0.15
yangzhou_199_92	yangzhou_199_92	0.5
yangzhou_199_93	yangzhou_199_93	1.6
yangzhou_199_94	yangzhou_199_94	1.74
yangzhou_199_95	yangzhou_199_95	3.36
yangzhou_199_96	yangzhou_199_96	1.2
yangzhou_199_97	yangzhou_199_97	0.7
yangzhou_199_98	yangzhou_199_98	0.21
yangzhou_199_99	yangzhou_199_99	0.17
yangzhou_226_100	yangzhou_226_100	0.55
yangzhou_226_101	yangzhou_226_101	0.45
yangzhou_226_10	yangzhou_226_10	0.68
yangzhou_226_102	yangzhou_226_102	0.53
yangzhou_226_103	yangzhou_226_103	0.67
yangzhou_226_104	yangzhou_226_104	0.81
yangzhou_226_105	yangzhou_226_105	0.34
yangzhou_226_106	yangzhou_226_106	0.52
yangzhou_226_107	yangzhou_226_107	0.49
yangzhou_226_108	yangzhou_226_108	0.44
yangzhou_226_109	yangzhou_226_109	0.82
yangzhou_226_110	yangzhou_226_110	0.43
yangzhou_226_111	yangzhou_226_111	0.84
yangzhou_226_11	yangzhou_226_11	1.17
yangzhou_226_112	yangzhou_226_112	0.75
yangzhou_226_113	yangzhou_226_113	1.29
yangzhou_226_114	yangzhou_226_114	1.47
yangzhou_226_115	yangzhou_226_115	1.24
yangzhou_226_116	yangzhou_226_116	0.87
yangzhou_226_117	yangzhou_226_117	1.26
yangzhou_226_118	yangzhou_226_118	0.43
yangzhou_226_119	yangzhou_226_119	1.22
yangzhou_226_1	yangzhou_226_1	0.52
yangzhou_226_120	yangzhou_226_120	0.46
yangzhou_226_121	yangzhou_226_121	0.47
yangzhou_226_12	yangzhou_226_12	0.97
yangzhou_226_122	yangzhou_226_122	0.77
yangzhou_226_123	yangzhou_226_123	NA
yangzhou_226_124	yangzhou_226_124	0.72
yangzhou_226_125	yangzhou_226_125	1.75
yangzhou_226_126	yangzhou_226_126	1.44
yangzhou_226_127	yangzhou_226_127	1.49
yangzhou_226_128	yangzhou_226_128	0.88
yangzhou_226_129	yangzhou_226_129	0.95
yangzhou_226_130	yangzhou_226_130	0.8
yangzhou_226_131	yangzhou_226_131	1.74
yangzhou_226_13	yangzhou_226_13	0.23
yangzhou_226_132	yangzhou_226_132	1.73
yangzhou_226_133	yangzhou_226_133	1.08
yangzhou_226_134	yangzhou_226_134	1.02
yangzhou_226_135	yangzhou_226_135	1.62
yangzhou_226_136	yangzhou_226_136	1.39
yangzhou_226_137	yangzhou_226_137	0.7
yangzhou_226_138	yangzhou_226_138	2.32
yangzhou_226_139	yangzhou_226_139	1.02
yangzhou_226_140	yangzhou_226_140	0.97
yangzhou_226_141	yangzhou_226_141	0.99
yangzhou_226_14	yangzhou_226_14	0.69
yangzhou_226_142	yangzhou_226_142	1.64
yangzhou_226_143	yangzhou_226_143	1.22
yangzhou_226_144	yangzhou_226_144	1.84
yangzhou_226_145	yangzhou_226_145	1.09
yangzhou_226_146	yangzhou_226_146	1.13
yangzhou_226_147	yangzhou_226_147	1.34
yangzhou_226_148	yangzhou_226_148	0.7
yangzhou_226_149	yangzhou_226_149	0.45
yangzhou_226_150	yangzhou_226_150	1.14
yangzhou_226_151	yangzhou_226_151	0.91
yangzhou_226_15	yangzhou_226_15	0.36
yangzhou_226_152	yangzhou_226_152	0.83
yangzhou_226_153	yangzhou_226_153	0.96
yangzhou_226_154	yangzhou_226_154	0.85
yangzhou_226_155	yangzhou_226_155	1.64
yangzhou_226_156	yangzhou_226_156	0.69
yangzhou_226_157	yangzhou_226_157	1.26
yangzhou_226_158	yangzhou_226_158	1.0
yangzhou_226_159	yangzhou_226_159	0.73
yangzhou_226_160	yangzhou_226_160	1.11
yangzhou_226_161	yangzhou_226_161	0.97
yangzhou_226_16	yangzhou_226_16	0.89
yangzhou_226_162	yangzhou_226_162	0.48
yangzhou_226_163	yangzhou_226_163	1.47
yangzhou_226_164	yangzhou_226_164	0.27
yangzhou_226_165	yangzhou_226_165	0.99
yangzhou_226_166	yangzhou_226_166	NA
yangzhou_226_167	yangzhou_226_167	1.96
yangzhou_226_168	yangzhou_226_168	1.01
yangzhou_226_169	yangzhou_226_169	1.06
yangzhou_226_170	yangzhou_226_170	2.18
yangzhou_226_171	yangzhou_226_171	0.67
yangzhou_226_17	yangzhou_226_17	0.58
yangzhou_226_172	yangzhou_226_172	0.91
yangzhou_226_173	yangzhou_226_173	1.18
yangzhou_226_174	yangzhou_226_174	1.5
yangzhou_226_175	yangzhou_226_175	1.2
yangzhou_226_176	yangzhou_226_176	1.21
yangzhou_226_177	yangzhou_226_177	0.71
yangzhou_226_178	yangzhou_226_178	1.25
yangzhou_226_179	yangzhou_226_179	0.97
yangzhou_226_180	yangzhou_226_180	0.21
yangzhou_226_18	yangzhou_226_18	2.05
yangzhou_226_182	yangzhou_226_182	0.44
yangzhou_226_183	yangzhou_226_183	NA
yangzhou_226_184	yangzhou_226_184	0.48
yangzhou_226_185	yangzhou_226_185	1.14
yangzhou_226_186	yangzhou_226_186	0.61
yangzhou_226_187	yangzhou_226_187	NA
yangzhou_226_188	yangzhou_226_188	NA
yangzhou_226_189	yangzhou_226_189	NA
yangzhou_226_190	yangzhou_226_190	1.32
yangzhou_226_191	yangzhou_226_191	NA
yangzhou_226_19	yangzhou_226_19	1.63
yangzhou_226_192	yangzhou_226_192	0.68
yangzhou_226_193	yangzhou_226_193	NA
yangzhou_226_194	yangzhou_226_194	3.13
yangzhou_226_195	yangzhou_226_195	0.28
yangzhou_226_196	yangzhou_226_196	1.17
yangzhou_226_197	yangzhou_226_197	1.96
yangzhou_226_198	yangzhou_226_198	0.69
yangzhou_226_199	yangzhou_226_199	0.61
