FID	IID	FGP_WenJ15
1701	1701	128.6
1702	1702	92.7
1703	1703	97.1
1704	1704	103.8
1705	1705	76.8
1706	1706	107.6
1707	1707	114.2
1708	1708	96.4
1709	1709	105.9
1710	1710	123.3
1711	1711	112.3
1712	1712	148.1
1713	1713	169.5
1714	1714	115.3
1715	1715	108.7
1716	1716	85.4
1717	1717	93.7
1718	1718	128.6
1719	1719	103.2
1720	1720	105.6
1721	1721	88.1
1722	1722	72.5
1723	1723	92.4
1724	1724	104.9
1725	1725	101.1
1726	1726	72.1
1727	1727	78.0
1728	1728	101.9
1729	1729	107.3
1730	1730	104.0
1731	1731	99.0
1732	1732	68.5
1733	1733	84.4
1734	1734	114.3
1735	1735	76.6
1736	1736	101.2
1737	1737	86.9
1738	1738	104.2
1739	1739	109.9
1740	1740	100.6
1741	1741	92.7
1742	1742	116.5
1743	1743	112.1
1744	1744	85.3
1745	1745	94.7
1746	1746	112.1
1747	1747	92.4
1748	1748	106.0
1749	1749	87.1
1750	1750	40.7
1751	1751	75.6
1752	1752	93.0
1753	1753	105.9
1754	1754	87.4
1755	1755	90.4
1756	1756	73.9
1757	1757	89.4
1758	1758	76.0
1759	1759	100.2
1760	1760	122.6
1761	1761	56.6
1762	1762	81.9
1763	1763	87.2
1764	1764	94.3
1765	1765	94.9
1766	1766	103.5
1767	1767	107.9
1768	1768	108.3
1769	1769	100.7
1770	1770	67.9
1771	1771	50.4
1772	1772	62.8
1773	1773	75.0
1774	1774	108.9
1775	1775	141.9
1776	1776	90.0
1777	1777	56.2
1778	1778	95.6
1779	1779	85.1
1780	1780	135.0
1781	1781	109.6
1783	1783	85.6
1784	1784	73.8
1787	1787	75.4
1788	1788	86.2
1789	1789	88.2
1790	1790	98.3
1791	1791	237.5
1792	1792	93.4
1793	1793	58.1
1794	1794	60.4
1795	1795	61.9
1796	1796	72.4
1797	1797	86.6
1798	1798	99.5
1800	1800	90.7
1802	1802	118.5
1804	1804	68.3
1805	1805	100.3
1806	1806	124.0
1808	1808	119.4
1809	1809	84.1
1810	1810	91.1
1811	1811	88.2
1812	1812	78.4
1813	1813	81.9
EZ5	EZ5	124.1
GS179	GS179	NA
GS190	GS190	NA
GS193	GS193	NA
GS202	GS202	NA
GS208	GS208	NA
GS209	GS209	NA
GS210	GS210	NA
GS211	GS211	NA
GS212	GS212	NA
GS217	GS217	NA
GS218	GS218	NA
GS228	GS228	NA
GS230	GS230	NA
GS232	GS232	NA
GS233	GS233	NA
GS234	GS234	NA
GS235	GS235	NA
L10	L10	98.6
L11	L11	112.4
L1	L1	NA
L13	L13	93.8
L14	L14	NA
L15	L15	NA
L16	L16	NA
L17	L17	141.7
L18	L18	141.2
L19	L19	NA
L20	L20	112.3
L21	L21	NA
L2	L2	NA
L22	L22	95.0
L23	L23	144.3
L24	L24	NA
L25	L25	107.7
L26	L26	NA
L27	L27	99.6
L28	L28	129.0
L29	L29	216.5
L3	L3	NA
L4	L4	NA
L5	L5	97.5
L6	L6	113.3
L7	L7	108.1
L8	L8	90.5
L9	L9	NA
wyj30	wyj30	110.1
Y10	Y10	53.1
Y104	Y104	NA
Y105	Y105	71.3
Y106	Y106	106.1
Y107	Y107	162.1
Y108	Y108	65.2
Y109	Y109	79.8
Y110	Y110	33.7
Y11	Y11	54.4
Y114	Y114	114.0
Y1	Y1	50.6
Y121	Y121	42.9
Y12	Y12	93.1
Y123	Y123	80.5
Y125	Y125	96.0
Y131	Y131	81.2
Y13	Y13	103.9
Y14	Y14	64.3
Y15	Y15	104.4
Y17	Y17	95.9
Y18	Y18	46.1
Y19	Y19	63.0
Y20	Y20	109.8
Y210	Y210	142.7
Y21	Y21	43.4
Y219	Y219	91.2
Y2	Y2	41.1
Y220	Y220	158.3
Y22	Y22	40.6
Y229	Y229	67.4
Y23	Y23	112.8
Y24	Y24	50.3
Y243	Y243	46.6
Y244	Y244	44.7
Y245	Y245	49.2
Y246	Y246	88.1
Y247	Y247	72.9
Y248	Y248	92.7
Y249	Y249	70.9
Y250	Y250	50.3
Y251	Y251	106.1
Y25	Y25	66.6
Y252	Y252	39.2
Y253	Y253	135.5
Y254	Y254	108.0
Y255	Y255	102.2
Y256	Y256	89.0
Y257	Y257	108.8
Y3	Y3	73.2
Y4	Y4	72.0
Y42	Y42	102.1
Y5	Y5	79.9
Y6	Y6	42.6
Y7	Y7	51.3
Y8	Y8	46.0
Y86	Y86	78.2
Y87	Y87	74.1
Y88	Y88	94.6
Y90	Y90	78.1
Y91	Y91	72.5
Y9	Y9	82.7
Y92	Y92	56.9
Y94	Y94	59.2
Y95	Y95	97.8
Y96	Y96	96.5
Y97	Y97	59.7
Y99	Y99	54.2
yangzhou_199_100	yangzhou_199_100	128.6
yangzhou_199_101	yangzhou_199_101	101.8
yangzhou_199_10	yangzhou_199_10	142.3
yangzhou_199_102	yangzhou_199_102	134.5
yangzhou_199_103	yangzhou_199_103	117.0
yangzhou_199_104	yangzhou_199_104	94.6
yangzhou_199_105	yangzhou_199_105	107.4
yangzhou_199_106	yangzhou_199_106	106.9
yangzhou_199_107	yangzhou_199_107	89.2
yangzhou_199_108	yangzhou_199_108	111.3
yangzhou_199_109	yangzhou_199_109	111.4
yangzhou_199_110	yangzhou_199_110	105.9
yangzhou_199_111	yangzhou_199_111	127.6
yangzhou_199_11	yangzhou_199_11	147.3
yangzhou_199_112	yangzhou_199_112	134.0
yangzhou_199_113	yangzhou_199_113	91.5
yangzhou_199_114	yangzhou_199_114	69.4
yangzhou_199_115	yangzhou_199_115	86.1
yangzhou_199_116	yangzhou_199_116	80.3
yangzhou_199_117	yangzhou_199_117	99.6
yangzhou_199_118	yangzhou_199_118	70.6
yangzhou_199_119	yangzhou_199_119	83.5
