FID	IID	FLL_BeiJ16
1701	1701	NA
1702	1702	NA
1703	1703	26.9
1704	1704	NA
1705	1705	NA
1706	1706	NA
1707	1707	32.3
1708	1708	30.1
1709	1709	NA
1710	1710	28.1
1711	1711	NA
1712	1712	NA
1713	1713	NA
1714	1714	NA
1715	1715	NA
1716	1716	24.5
1717	1717	25.6
1718	1718	NA
1719	1719	NA
1720	1720	NA
1721	1721	23.9
1722	1722	22.2
1723	1723	28.3
1724	1724	NA
1725	1725	29.0
1726	1726	NA
1727	1727	NA
1728	1728	27.0
1729	1729	23.7
1730	1730	NA
1731	1731	NA
1732	1732	NA
1733	1733	NA
1734	1734	NA
1735	1735	NA
1736	1736	NA
1737	1737	24.2
1738	1738	24.3
1739	1739	NA
1740	1740	NA
1741	1741	NA
1742	1742	NA
1743	1743	23.7
1744	1744	NA
1745	1745	NA
1746	1746	NA
1747	1747	19.4
1748	1748	41.3
1749	1749	34.5
1750	1750	31.8
1751	1751	NA
1752	1752	26.6
1753	1753	NA
1754	1754	36.8
1755	1755	26.9
1756	1756	26.0
1757	1757	37.3
1758	1758	NA
1759	1759	31.1
1760	1760	34.6
1761	1761	NA
1762	1762	NA
1763	1763	NA
1764	1764	24.2
1765	1765	25.3
1766	1766	34.2
1767	1767	NA
1768	1768	26.2
1769	1769	NA
1770	1770	NA
1771	1771	NA
1772	1772	NA
1773	1773	NA
1774	1774	NA
1775	1775	31.9
1776	1776	NA
1777	1777	NA
1778	1778	NA
1779	1779	NA
1780	1780	NA
1781	1781	NA
1783	1783	NA
1784	1784	NA
1787	1787	NA
1788	1788	NA
1789	1789	NA
1790	1790	NA
1791	1791	33.6
1792	1792	22.8
1793	1793	NA
1794	1794	NA
1795	1795	NA
1796	1796	NA
1797	1797	NA
1798	1798	NA
1800	1800	NA
1802	1802	39.6
1804	1804	NA
1805	1805	NA
1806	1806	NA
1808	1808	NA
1809	1809	NA
1810	1810	NA
1811	1811	NA
1812	1812	NA
1813	1813	NA
EZ5	EZ5	41.1
GS179	GS179	NA
GS190	GS190	43.1
GS193	GS193	40.9
GS202	GS202	38.8
GS208	GS208	29.9
GS209	GS209	36.4
GS210	GS210	34.7
GS211	GS211	34.7
GS212	GS212	38.5
GS217	GS217	33.0
GS218	GS218	31.9
GS228	GS228	37.5
GS230	GS230	38.8
GS232	GS232	45.3
GS233	GS233	37.8
GS234	GS234	38.4
GS235	GS235	40.0
L10	L10	37.3
L11	L11	35.3
L1	L1	28.5
L13	L13	33.9
L14	L14	38.3
L15	L15	39.6
L16	L16	44.3
L17	L17	46.5
L18	L18	41.5
L19	L19	35.5
L20	L20	35.5
L21	L21	33.1
L2	L2	35.4
L22	L22	42.7
L23	L23	25.3
L24	L24	26.9
L25	L25	26.4
L26	L26	38.9
L27	L27	28.7
L28	L28	32.1
L29	L29	36.3
L3	L3	43.9
L4	L4	34.8
L5	L5	37.3
L6	L6	32.2
L7	L7	33.0
L8	L8	36.4
L9	L9	30.3
wyj30	wyj30	NA
Y10	Y10	28.9
Y104	Y104	28.4
Y105	Y105	30.3
Y106	Y106	33.8
Y107	Y107	34.0
Y108	Y108	29.1
Y109	Y109	34.9
Y110	Y110	NA
Y11	Y11	27.8
Y114	Y114	36.3
Y1	Y1	21.9
Y121	Y121	31.5
Y12	Y12	31.5
Y123	Y123	33.8
Y125	Y125	28.5
Y131	Y131	33.2
Y13	Y13	24.4
Y14	Y14	32.2
Y15	Y15	29.0
Y17	Y17	30.1
Y18	Y18	32.1
Y19	Y19	28.3
Y20	Y20	45.3
Y210	Y210	26.8
Y21	Y21	28.3
Y219	Y219	33.1
Y2	Y2	25.3
Y220	Y220	25.7
Y22	Y22	23.6
Y229	Y229	30.2
Y23	Y23	26.8
Y24	Y24	32.1
Y243	Y243	27.5
Y244	Y244	29.6
Y245	Y245	29.9
Y246	Y246	27.1
Y247	Y247	34.7
Y248	Y248	34.8
Y249	Y249	34.9
Y250	Y250	38.1
Y251	Y251	32.1
Y25	Y25	35.5
Y252	Y252	NA
Y253	Y253	27.1
Y254	Y254	25.8
Y255	Y255	30.3
Y256	Y256	25.9
Y257	Y257	33.6
Y3	Y3	30.8
Y4	Y4	28.3
Y42	Y42	33.0
Y5	Y5	27.4
Y6	Y6	21.8
Y7	Y7	25.8
Y8	Y8	30.1
Y86	Y86	27.8
Y87	Y87	34.5
Y88	Y88	31.5
Y90	Y90	27.6
Y91	Y91	24.4
Y9	Y9	NA
Y92	Y92	29.6
Y94	Y94	26.3
Y95	Y95	32.4
Y96	Y96	26.6
Y97	Y97	32.7
Y99	Y99	32.2
yangzhou_199_100	yangzhou_199_100	24.7
yangzhou_199_101	yangzhou_199_101	23.5
yangzhou_199_10	yangzhou_199_10	25.5
yangzhou_199_102	yangzhou_199_102	28.0
yangzhou_199_103	yangzhou_199_103	27.1
yangzhou_199_104	yangzhou_199_104	22.6
yangzhou_199_105	yangzhou_199_105	25.9
yangzhou_199_106	yangzhou_199_106	25.5
yangzhou_199_107	yangzhou_199_107	27.4
yangzhou_199_108	yangzhou_199_108	24.5
yangzhou_199_109	yangzhou_199_109	26.8
yangzhou_199_110	yangzhou_199_110	22.0
yangzhou_199_111	yangzhou_199_111	29.6
yangzhou_199_11	yangzhou_199_11	29.2
yangzhou_199_112	yangzhou_199_112	22.9
yangzhou_199_113	yangzhou_199_113	NA
yangzhou_199_114	yangzhou_199_114	NA
yangzhou_199_115	yangzhou_199_115	NA
yangzhou_199_116	yangzhou_199_116	NA
yangzhou_199_117	yangzhou_199_117	NA
yangzhou_199_118	yangzhou_199_118	NA
yangzhou_199_119	yangzhou_199_119	NA
yangzhou_199_1	yangzhou_199_1	NA
yangzhou_199_120	yangzhou_199_120	NA
yangzhou_199_121	yangzhou_199_121	NA
yangzhou_199_12	yangzhou_199_12	NA
yangzhou_199_122	yangzhou_199_122	NA
yangzhou_199_123	yangzhou_199_123	21.8
yangzhou_199_124	yangzhou_199_124	NA
yangzhou_199_125	yangzhou_199_125	NA
yangzhou_199_126	yangzhou_199_126	NA
yangzhou_199_127	yangzhou_199_127	NA
yangzhou_199_128	yangzhou_199_128	NA
yangzhou_199_129	yangzhou_199_129	NA
yangzhou_199_130	yangzhou_199_130	NA
yangzhou_199_131	yangzhou_199_131	NA
yangzhou_199_13	yangzhou_199_13	23.8
yangzhou_199_132	yangzhou_199_132	NA
yangzhou_199_133	yangzhou_199_133	42.6
yangzhou_199_134	yangzhou_199_134	26.4
yangzhou_199_135	yangzhou_199_135	NA
yangzhou_199_136	yangzhou_199_136	NA
yangzhou_199_137	yangzhou_199_137	NA
yangzhou_199_138	yangzhou_199_138	NA
yangzhou_199_139	yangzhou_199_139	NA
yangzhou_199_140	yangzhou_199_140	46.0
yangzhou_199_141	yangzhou_199_141	34.0
yangzhou_199_14	yangzhou_199_14	NA
yangzhou_199_142	yangzhou_199_142	NA
yangzhou_199_143	yangzhou_199_143	NA
yangzhou_199_144	yangzhou_199_144	NA
yangzhou_199_145	yangzhou_199_145	24.7
yangzhou_199_146	yangzhou_199_146	NA
yangzhou_199_147	yangzhou_199_147	36.5
yangzhou_199_148	yangzhou_199_148	33.5
yangzhou_199_149	yangzhou_199_149	32.5
yangzhou_199_150	yangzhou_199_150	33.8
yangzhou_199_151	yangzhou_199_151	36.3
yangzhou_199_15	yangzhou_199_15	NA
yangzhou_199_152	yangzhou_199_152	44.0
yangzhou_199_153	yangzhou_199_153	31.0
yangzhou_199_154	yangzhou_199_154	45.3
yangzhou_199_155	yangzhou_199_155	25.8
yangzhou_199_156	yangzhou_199_156	NA
yangzhou_199_157	yangzhou_199_157	36.5
yangzhou_199_158	yangzhou_199_158	38.4
yangzhou_199_159	yangzhou_199_159	41.7
yangzhou_199_160	yangzhou_199_160	28.0
yangzhou_199_161	yangzhou_199_161	NA
yangzhou_199_16	yangzhou_199_16	NA
yangzhou_199_162	yangzhou_199_162	36.4
yangzhou_199_163	yangzhou_199_163	39.0
yangzhou_199_164	yangzhou_199_164	29.5
yangzhou_199_165	yangzhou_199_165	22.2
yangzhou_199_166	yangzhou_199_166	23.0
yangzhou_199_167	yangzhou_199_167	24.1
yangzhou_199_168	yangzhou_199_168	26.8
yangzhou_199_169	yangzhou_199_169	46.2
yangzhou_199_170	yangzhou_199_170	40.6
yangzhou_199_171	yangzhou_199_171	38.8
yangzhou_199_17	yangzhou_199_17	NA
yangzhou_199_172	yangzhou_199_172	36.2
yangzhou_199_173	yangzhou_199_173	26.0
yangzhou_199_174	yangzhou_199_174	NA
yangzhou_199_175	yangzhou_199_175	33.7
yangzhou_199_176	yangzhou_199_176	NA
yangzhou_199_177	yangzhou_199_177	45.3
yangzhou_199_178	yangzhou_199_178	35.6
yangzhou_199_179	yangzhou_199_179	45.1
yangzhou_199_180	yangzhou_199_180	37.7
yangzhou_199_181	yangzhou_199_181	34.8
yangzhou_199_18	yangzhou_199_18	25.0
yangzhou_199_182	yangzhou_199_182	34.3
yangzhou_199_183	yangzhou_199_183	36.5
yangzhou_199_184	yangzhou_199_184	NA
yangzhou_199_185	yangzhou_199_185	NA
yangzhou_199_186	yangzhou_199_186	30.6
yangzhou_199_187	yangzhou_199_187	33.2
yangzhou_199_188	yangzhou_199_188	34.8
yangzhou_199_189	yangzhou_199_189	22.5
yangzhou_199_190	yangzhou_199_190	25.3
yangzhou_199_191	yangzhou_199_191	NA
yangzhou_199_19	yangzhou_199_19	NA
yangzhou_199_192	yangzhou_199_192	NA
yangzhou_199_193	yangzhou_199_193	30.5
yangzhou_199_194	yangzhou_199_194	24.6
yangzhou_199_195	yangzhou_199_195	36.2
yangzhou_199_196	yangzhou_199_196	31.7
yangzhou_199_197	yangzhou_199_197	37.4
