FID	IID	FLW_BeiJ16
1701	1701	NA
1702	1702	NA
1703	1703	1.3
1704	1704	NA
1705	1705	NA
1706	1706	NA
1707	1707	1.3
1708	1708	1.4
1709	1709	NA
1710	1710	1.4
1711	1711	NA
1712	1712	NA
1713	1713	NA
1714	1714	NA
1715	1715	NA
1716	1716	1.3
1717	1717	1.2
1718	1718	NA
1719	1719	NA
1720	1720	NA
1721	1721	1.2
1722	1722	1.5
1723	1723	1.4
1724	1724	NA
1725	1725	1.6
1726	1726	NA
1727	1727	NA
1728	1728	1.7
1729	1729	1.4
1730	1730	NA
1731	1731	NA
1732	1732	NA
1733	1733	NA
1734	1734	NA
1735	1735	NA
1736	1736	NA
1737	1737	1.4
1738	1738	1.3
1739	1739	NA
1740	1740	NA
1741	1741	NA
1742	1742	NA
1743	1743	1.7
1744	1744	NA
1745	1745	NA
1746	1746	NA
1747	1747	1.6
1748	1748	1.2
1749	1749	1.4
1750	1750	1.6
1751	1751	NA
1752	1752	1.4
1753	1753	NA
1754	1754	1.2
1755	1755	1.4
1756	1756	1.4
1757	1757	1.3
1758	1758	NA
1759	1759	1.3
1760	1760	1.6
1761	1761	NA
1762	1762	NA
1763	1763	NA
1764	1764	1.2
1765	1765	1.1
1766	1766	1.4
1767	1767	NA
1768	1768	1.5
1769	1769	NA
1770	1770	NA
1771	1771	NA
1772	1772	NA
1773	1773	NA
1774	1774	NA
1775	1775	1.6
1776	1776	NA
1777	1777	NA
1778	1778	NA
1779	1779	NA
1780	1780	NA
1781	1781	NA
1783	1783	NA
1784	1784	NA
1787	1787	NA
1788	1788	NA
1789	1789	NA
1790	1790	NA
1791	1791	2.2
1792	1792	1.5
1793	1793	NA
1794	1794	NA
1795	1795	NA
1796	1796	NA
1797	1797	NA
1798	1798	NA
1800	1800	NA
1802	1802	1.3
1804	1804	NA
1805	1805	NA
1806	1806	NA
1808	1808	NA
1809	1809	NA
1810	1810	NA
1811	1811	NA
1812	1812	NA
1813	1813	NA
EZ5	EZ5	1.3
GS179	GS179	NA
GS190	GS190	1.7
GS193	GS193	1.8
GS202	GS202	2.0
GS208	GS208	1.7
GS209	GS209	1.8
GS210	GS210	1.7
GS211	GS211	1.7
GS212	GS212	1.7
GS217	GS217	1.8
GS218	GS218	1.5
GS228	GS228	1.5
GS230	GS230	1.4
GS232	GS232	1.4
GS233	GS233	1.5
GS234	GS234	2.1
GS235	GS235	2.0
L10	L10	2.0
L11	L11	2.4
L1	L1	1.8
L13	L13	2.1
L14	L14	2.4
L15	L15	2.2
L16	L16	2.5
L17	L17	2.4
L18	L18	2.3
L19	L19	2.0
L20	L20	1.8
L21	L21	1.6
L2	L2	2.1
L22	L22	2.1
L23	L23	1.5
L24	L24	1.4
L25	L25	1.5
L26	L26	1.9
L27	L27	1.6
L28	L28	1.8
L29	L29	1.7
L3	L3	1.9
L4	L4	2.0
L5	L5	1.9
L6	L6	1.7
L7	L7	2.0
L8	L8	2.2
L9	L9	2.1
wyj30	wyj30	NA
Y10	Y10	1.2
Y104	Y104	1.4
Y105	Y105	1.2
Y106	Y106	1.9
Y107	Y107	1.5
Y108	Y108	1.2
Y109	Y109	1.5
Y110	Y110	NA
Y11	Y11	1.1
Y114	Y114	1.4
Y1	Y1	1.2
Y121	Y121	1.3
Y12	Y12	1.4
Y123	Y123	1.2
Y125	Y125	1.3
Y131	Y131	1.5
Y13	Y13	1.1
Y14	Y14	1.3
Y15	Y15	1.2
Y17	Y17	1.2
Y18	Y18	1.3
Y19	Y19	1.5
Y20	Y20	1.6
Y210	Y210	1.8
Y21	Y21	1.3
Y219	Y219	1.2
Y2	Y2	1.3
Y220	Y220	1.7
Y22	Y22	1.3
Y229	Y229	1.1
Y23	Y23	1.3
Y24	Y24	1.9
Y243	Y243	1.0
Y244	Y244	1.4
Y245	Y245	1.2
Y246	Y246	1.1
Y247	Y247	1.5
Y248	Y248	1.5
Y249	Y249	1.2
Y250	Y250	1.4
Y251	Y251	1.8
Y25	Y25	1.3
Y252	Y252	NA
Y253	Y253	1.3
Y254	Y254	1.3
Y255	Y255	1.6
Y256	Y256	1.4
Y257	Y257	1.3
Y3	Y3	1.3
Y4	Y4	1.0
Y42	Y42	1.2
Y5	Y5	1.3
Y6	Y6	1.1
Y7	Y7	1.1
Y8	Y8	1.4
Y86	Y86	1.0
Y87	Y87	1.2
Y88	Y88	1.5
Y90	Y90	1.2
Y91	Y91	1.1
Y9	Y9	NA
Y92	Y92	1.1
Y94	Y94	1.2
Y95	Y95	1.6
Y96	Y96	1.4
Y97	Y97	1.5
Y99	Y99	1.6
yangzhou_199_100	yangzhou_199_100	1.6
yangzhou_199_101	yangzhou_199_101	1.5
yangzhou_199_10	yangzhou_199_10	1.5
yangzhou_199_102	yangzhou_199_102	1.6
yangzhou_199_103	yangzhou_199_103	1.4
yangzhou_199_104	yangzhou_199_104	1.4
yangzhou_199_105	yangzhou_199_105	1.7
yangzhou_199_106	yangzhou_199_106	1.5
yangzhou_199_107	yangzhou_199_107	1.5
yangzhou_199_108	yangzhou_199_108	1.6
yangzhou_199_109	yangzhou_199_109	1.6
yangzhou_199_110	yangzhou_199_110	1.6
yangzhou_199_111	yangzhou_199_111	1.6
yangzhou_199_11	yangzhou_199_11	1.7
yangzhou_199_112	yangzhou_199_112	1.4
yangzhou_199_113	yangzhou_199_113	NA
yangzhou_199_114	yangzhou_199_114	NA
yangzhou_199_115	yangzhou_199_115	NA
yangzhou_199_116	yangzhou_199_116	NA
yangzhou_199_117	yangzhou_199_117	NA
yangzhou_199_118	yangzhou_199_118	NA
yangzhou_199_119	yangzhou_199_119	NA
yangzhou_199_1	yangzhou_199_1	NA
yangzhou_199_120	yangzhou_199_120	NA
yangzhou_199_121	yangzhou_199_121	NA
yangzhou_199_12	yangzhou_199_12	NA
yangzhou_199_122	yangzhou_199_122	NA
yangzhou_199_123	yangzhou_199_123	1.0
yangzhou_199_124	yangzhou_199_124	NA
yangzhou_199_125	yangzhou_199_125	NA
yangzhou_199_126	yangzhou_199_126	NA
yangzhou_199_127	yangzhou_199_127	NA
yangzhou_199_128	yangzhou_199_128	NA
yangzhou_199_129	yangzhou_199_129	NA
yangzhou_199_130	yangzhou_199_130	NA
yangzhou_199_131	yangzhou_199_131	NA
yangzhou_199_13	yangzhou_199_13	1.4
yangzhou_199_132	yangzhou_199_132	NA
yangzhou_199_133	yangzhou_199_133	1.3
yangzhou_199_134	yangzhou_199_134	1.5
yangzhou_199_135	yangzhou_199_135	NA
yangzhou_199_136	yangzhou_199_136	NA
yangzhou_199_137	yangzhou_199_137	NA
yangzhou_199_138	yangzhou_199_138	NA
yangzhou_199_139	yangzhou_199_139	NA
yangzhou_199_140	yangzhou_199_140	2.0
yangzhou_199_141	yangzhou_199_141	1.9
yangzhou_199_14	yangzhou_199_14	NA
yangzhou_199_142	yangzhou_199_142	NA
yangzhou_199_143	yangzhou_199_143	NA
yangzhou_199_144	yangzhou_199_144	NA
yangzhou_199_145	yangzhou_199_145	2.1
yangzhou_199_146	yangzhou_199_146	NA
yangzhou_199_147	yangzhou_199_147	1.7
yangzhou_199_148	yangzhou_199_148	1.6
yangzhou_199_149	yangzhou_199_149	1.3
yangzhou_199_150	yangzhou_199_150	1.6
yangzhou_199_151	yangzhou_199_151	1.7
yangzhou_199_15	yangzhou_199_15	NA
yangzhou_199_152	yangzhou_199_152	1.5
yangzhou_199_153	yangzhou_199_153	1.5
yangzhou_199_154	yangzhou_199_154	1.7
yangzhou_199_155	yangzhou_199_155	1.8
yangzhou_199_156	yangzhou_199_156	NA
yangzhou_199_157	yangzhou_199_157	1.6
yangzhou_199_158	yangzhou_199_158	2.3
yangzhou_199_159	yangzhou_199_159	1.9
yangzhou_199_160	yangzhou_199_160	1.3
yangzhou_199_161	yangzhou_199_161	NA
yangzhou_199_16	yangzhou_199_16	NA
yangzhou_199_162	yangzhou_199_162	1.4
yangzhou_199_163	yangzhou_199_163	1.5
yangzhou_199_164	yangzhou_199_164	1.3
yangzhou_199_165	yangzhou_199_165	1.1
yangzhou_199_166	yangzhou_199_166	1.0
yangzhou_199_167	yangzhou_199_167	1.3
yangzhou_199_168	yangzhou_199_168	1.9
yangzhou_199_169	yangzhou_199_169	1.7
yangzhou_199_170	yangzhou_199_170	1.5
yangzhou_199_171	yangzhou_199_171	1.7
yangzhou_199_17	yangzhou_199_17	NA
yangzhou_199_172	yangzhou_199_172	1.7
yangzhou_199_173	yangzhou_199_173	1.4
yangzhou_199_174	yangzhou_199_174	NA
yangzhou_199_175	yangzhou_199_175	1.8
yangzhou_199_176	yangzhou_199_176	NA
yangzhou_199_177	yangzhou_199_177	1.8
yangzhou_199_178	yangzhou_199_178	1.6
yangzhou_199_179	yangzhou_199_179	1.6
yangzhou_199_180	yangzhou_199_180	1.3
yangzhou_199_181	yangzhou_199_181	1.2
yangzhou_199_18	yangzhou_199_18	1.6
yangzhou_199_182	yangzhou_199_182	1.7
yangzhou_199_183	yangzhou_199_183	1.3
yangzhou_199_184	yangzhou_199_184	NA
yangzhou_199_185	yangzhou_199_185	NA
yangzhou_199_186	yangzhou_199_186	1.7
yangzhou_199_187	yangzhou_199_187	1.3
yangzhou_199_188	yangzhou_199_188	1.3
yangzhou_199_189	yangzhou_199_189	1.8
yangzhou_199_190	yangzhou_199_190	1.7
yangzhou_199_191	yangzhou_199_191	NA
yangzhou_199_19	yangzhou_199_19	NA
yangzhou_199_192	yangzhou_199_192	NA
yangzhou_199_193	yangzhou_199_193	1.3
yangzhou_199_194	yangzhou_199_194	1.7
yangzhou_199_195	yangzhou_199_195	2.0
yangzhou_199_196	yangzhou_199_196	2.0
yangzhou_199_197	yangzhou_199_197	1.7
