FID	IID	GL_BLUP
1701	1701	7.14182989490345
1702	1702	7.04378726737785
1703	1703	6.96690978776253
1704	1704	7.41144712059885
1705	1705	7.16634055178485
1706	1706	6.70063807103825
1707	1707	7.11731923802205
1708	1708	7.17892987755672
1709	1709	7.18855241849933
1710	1710	6.50455281598705
1711	1711	6.79868069856385
1712	1712	7.14182989490345
1713	1713	7.01927661049645
1714	1714	6.8181333509985
1715	1715	7.14182989490345
1716	1716	6.99476595361505
1717	1717	7.04378726737785
1718	1718	7.09594765162413
1719	1719	7.37376195224975
1720	1720	6.54031905037287
1721	1721	6.84770201232665
1722	1722	6.94574463985225
1723	1723	6.97025529673365
1724	1724	6.92123398297085
1725	1725	7.09280858114065
1726	1726	6.70063807103825
1727	1727	7.06829792425925
1728	1728	6.8181333509985
1729	1729	6.55357412974984
1730	1730	7.55897148600017
1731	1731	6.8181333509985
1732	1732	7.37376195224975
1733	1733	6.89672332608945
1734	1734	7.55897148600017
1735	1735	7.55897148600017
1736	1736	6.54031905037287
1737	1737	6.45553150222424
1738	1738	6.62710610039405
1739	1739	7.74418101975058
1740	1740	6.91073811787371
1741	1741	7.09280858114065
1742	1742	6.8181333509985
1743	1743	7.18855241849933
1744	1744	6.99476595361505
1745	1745	7.55897148600017
1746	1746	7.04378726737785
1747	1747	6.77417004168245
1748	1748	6.62710610039405
1749	1749	6.97025529673365
1750	1750	7.19085120866625
1751	1751	6.82319135544525
1752	1752	7.06829792425925
1753	1753	6.79868069856385
1754	1754	7.38693646371745
1755	1755	6.57808478663125
1756	1756	7.01927661049645
1757	1757	7.09594765162413
1758	1758	6.97025529673365
1759	1759	7.18855241849933
1760	1760	7.60753237565005
1761	1761	7.15088189298281
1762	1762	6.58226814725647
1763	1763	6.8181333509985
1764	1764	6.89672332608945
1765	1765	6.67612741415685
1766	1766	6.57808478663125
1767	1767	6.98411570218716
1768	1768	7.18855241849933
1769	1769	6.84770201232665
1770	1770	7.28889383619185
1771	1771	7.28075800989586
1772	1772	7.01498999282579
1773	1773	7.30347122320533
1774	1774	6.72514872791965
1775	1775	7.14182989490345
1776	1776	6.72514872791965
1777	1777	6.55357412974984
1778	1778	7.19085120866625
1779	1779	6.77417004168245
1780	1780	6.8181333509985
1781	1781	7.28115718537454
1783	1783	6.96690978776253
1784	1784	6.4380275320667
1787	1787	7.28115718537454
1788	1788	7.19085120866625
1789	1789	6.94574463985225
1790	1790	7.20731081307881
1791	1791	6.43102084534284
1792	1792	6.99476595361505
1793	1793	7.54387224852161
1794	1794	7.73619306877464
1795	1795	7.15088189298281
1796	1796	6.97025529673365
1797	1797	6.84770201232665
1798	1798	6.94574463985225
1800	1800	6.77417004168245
1802	1802	6.65161675727545
1804	1804	6.82319135544525
1805	1805	6.99476595361505
1806	1806	7.17892987755672
1808	1808	7.06829792425925
1809	1809	6.91917764373064
1810	1810	7.37376195224975
1811	1811	6.99476595361505
1812	1812	6.72552858412329
1813	1813	6.63292381724808
EZ5	EZ5	6.48004215910565
GS179	GS179	NA
GS190	GS190	NA
