FID	IID	GSR_WenJ15
1701	1701	76.6
1702	1702	91.5
1703	1703	85.4
1704	1704	90.0
1705	1705	74.2
1706	1706	80.4
1707	1707	86.7
1708	1708	84.0
1709	1709	80.5
1710	1710	86.9
1711	1711	86.8
1712	1712	85.6
1713	1713	84.5
1714	1714	88.2
1715	1715	74.9
1716	1716	74.2
1717	1717	71.1
1718	1718	85.7
1719	1719	90.5
1720	1720	71.2
1721	1721	73.3
1722	1722	74.2
1723	1723	64.6
1724	1724	94.8
1725	1725	74.3
1726	1726	82.0
1727	1727	80.9
1728	1728	77.0
1729	1729	85.6
1730	1730	80.0
1731	1731	77.0
1732	1732	72.1
1733	1733	82.1
1734	1734	82.7
1735	1735	69.2
1736	1736	91.3
1737	1737	84.3
1738	1738	80.9
1739	1739	76.9
1740	1740	83.8
1741	1741	82.4
1742	1742	72.8
1743	1743	77.7
1744	1744	74.3
1745	1745	78.8
1746	1746	74.5
1747	1747	67.3
1748	1748	80.6
1749	1749	75.1
1750	1750	60.3
1751	1751	79.2
1752	1752	87.1
1753	1753	93.6
1754	1754	87.8
1755	1755	79.2
1756	1756	79.0
1757	1757	83.6
1758	1758	59.6
1759	1759	84.8
1760	1760	91.3
1761	1761	71.9
1762	1762	71.1
1763	1763	90.6
1764	1764	83.0
1765	1765	79.0
1766	1766	84.3
1767	1767	76.3
1768	1768	83.1
1769	1769	88.8
1770	1770	57.9
1771	1771	42.6
1772	1772	60.9
1773	1773	71.2
1774	1774	61.8
1775	1775	75.3
1776	1776	82.5
1777	1777	60.7
1778	1778	78.8
1779	1779	93.7
1780	1780	96.2
1781	1781	77.7
1783	1783	72.2
1784	1784	59.7
1787	1787	52.9
1788	1788	72.0
1789	1789	80.6
1790	1790	78.9
1791	1791	82.6
1792	1792	47.0
1793	1793	64.0
1794	1794	59.6
1795	1795	59.5
1796	1796	67.4
1797	1797	85.2
1798	1798	73.3
1800	1800	75.7
1802	1802	82.8
1804	1804	70.9
1805	1805	54.8
1806	1806	74.0
1808	1808	68.1
1809	1809	73.9
1810	1810	75.1
1811	1811	89.0
1812	1812	65.9
1813	1813	79.0
EZ5	EZ5	89.2
GS179	GS179	NA
GS190	GS190	NA
GS193	GS193	NA
GS202	GS202	NA
GS208	GS208	NA
GS209	GS209	NA
GS210	GS210	NA
GS211	GS211	NA
GS212	GS212	NA
GS217	GS217	NA
GS218	GS218	NA
GS228	GS228	NA
GS230	GS230	NA
GS232	GS232	NA
GS233	GS233	NA
GS234	GS234	NA
GS235	GS235	NA
L10	L10	56.9
L11	L11	58.9
L1	L1	NA
L13	L13	74.1
L14	L14	NA
L15	L15	NA
L16	L16	NA
L17	L17	83.5
L18	L18	79.8
L19	L19	NA
L20	L20	82.1
L21	L21	NA
L2	L2	NA
L22	L22	79.0
L23	L23	67.2
L24	L24	NA
L25	L25	78.5
L26	L26	NA
L27	L27	81.8
L28	L28	86.4
L29	L29	76.5
L3	L3	NA
L4	L4	NA
L5	L5	65.6
L6	L6	82.4
L7	L7	63.8
L8	L8	63.5
L9	L9	NA
wyj30	wyj30	63.5
Y10	Y10	67.7
Y104	Y104	NA
Y105	Y105	80.3
Y106	Y106	77.4
Y107	Y107	80.3
Y108	Y108	79.6
Y109	Y109	69.0
Y110	Y110	71.2
Y11	Y11	79.9
Y114	Y114	77.4
Y1	Y1	91.3
Y121	Y121	55.5
Y12	Y12	82.9
Y123	Y123	77.6
Y125	Y125	80.8
Y131	Y131	87.3
Y13	Y13	85.8
Y14	Y14	86.5
Y15	Y15	78.5
Y17	Y17	88.0
Y18	Y18	80.7
Y19	Y19	74.5
