FID	IID	GW_BLUP
1701	1701	3.28391079198818
1702	1702	3.1633619255856
1703	1703	3.2424249940249
1704	1704	3.25980101870767
1705	1705	3.13925215230509
1706	1706	3.13925215230509
1707	1707	3.1633619255856
1708	1708	3.12369104066545
1709	1709	3.37677351162534
1710	1710	3.18747169886612
1711	1711	3.40445965839077
1712	1712	3.09103260574405
1713	1713	3.28391079198818
1714	1714	3.20251127345514
1715	1715	3.35624011182973
1716	1716	3.28391079198818
1717	1717	3.18747169886612
1718	1718	3.20251127345514
1719	1719	3.20251127345514
1720	1720	3.11538015437004
1721	1721	3.3080205652687
1722	1722	3.28391079198818
1723	1723	3.23569124542715
1724	1724	3.3080205652687
1725	1725	3.25980101870767
1726	1726	3.25980101870767
1727	1727	3.23569124542715
1728	1728	3.11538015437004
1729	1729	3.42856943167128
1730	1730	2.76685567802964
1731	1731	3.11538015437004
1732	1732	3.20251127345514
1733	1733	3.09103260574405
1734	1734	3.20251127345514
1735	1735	3.28964239254024
1736	1736	3.11538015437004
1737	1737	3.23569124542715
1738	1738	3.09103260574405
1739	1739	3.20251127345514
1740	1740	3.11538015437004
1741	1741	3.42856943167128
1742	1742	3.28964239254024
1743	1743	3.37677351162534
1744	1744	3.23569124542715
1745	1745	3.20251127345514
1746	1746	3.28391079198818
1747	1747	3.33213033854922
1748	1748	3.11514237902457
1749	1749	3.35624011182973
1750	1750	3.40445965839077
1751	1751	3.1633619255856
1752	1752	3.25980101870767
1753	1753	3.23569124542715
1754	1754	3.13925215230509
1755	1755	3.06692283246354
1756	1756	3.18747169886612
1757	1757	3.20251127345514
1758	1758	3.11514237902457
1759	1759	3.20251127345514
1760	1760	2.97048373934147
1761	1761	3.0280363264412
1762	1762	3.19586346032003
1763	1763	3.20251127345514
1764	1764	3.28391079198818
1765	1765	3.25980101870767
1766	1766	3.06692283246354
1767	1767	3.40961449735338
1768	1768	3.11538015437004
1769	1769	3.13925215230509
1770	1770	3.21158147214663
1771	1771	3.37749832905978
1772	1772	3.38210959513949
1773	1773	3.33554806143463
1774	1774	3.25980101870767
1775	1775	3.35624011182973
1776	1776	3.18747169886612
1777	1777	3.28391079198818
1778	1778	3.52500852479335
1779	1779	3.28391079198818
1780	1780	3.02824903528494
1781	1781	3.02824903528494
1783	1783	3.28898652772976
1784	1784	3.42867112884436
1787	1787	3.28964239254024
1788	1788	3.28391079198818
1789	1789	3.3080205652687
1790	1790	3.2424249940249
1791	1791	3.57322807135438
1792	1792	3.0187032859025
1793	1793	3.42867112884436
1794	1794	3.47523266254922
1795	1795	3.47280614795575
1796	1796	3.40445965839077
1797	1797	3.38034988511025
1798	1798	3.13925215230509
1800	1800	3.35624011182973
1802	1802	3.1633619255856
1804	1804	3.40445965839077
1805	1805	3.09103260574405
1806	1806	3.12369104066545
1808	1808	3.3080205652687
1809	1809	3.09192176770013
1810	1810	3.20251127345514
1811	1811	3.23569124542715
1812	1812	3.20251127345514
1813	1813	3.11538015437004
EZ5	EZ5	3.13925215230509
GS179	GS179	NA
GS190	GS190	NA
GS193	GS193	NA
GS202	GS202	NA
GS208	GS208	NA
GS209	GS209	NA
GS210	GS210	NA
GS211	GS211	NA
GS212	GS212	NA
GS217	GS217	NA
GS218	GS218	NA
GS228	GS228	NA
GS230	GS230	NA
GS232	GS232	NA
GS233	GS233	NA
GS234	GS234	NA
GS235	GS235	NA
L10	L10	2.61503577789198
L11	L11	2.80565141568393
L1	L1	2.70115000771063
L13	L13	3.13969206313534
L14	L14	3.04967448405103
L15	L15	2.61401888862553
L16	L16	2.78828112679573
L17	L17	2.64680505085731
L18	L18	2.74211286975328
L19	L19	2.96254336496593
L20	L20	2.7738821427186
L21	L21	2.61401888862553
L2	L2	2.70115000771063
L22	L22	2.64680505085731
L23	L23	2.64680505085731
L24	L24	2.70115000771063
L25	L25	2.82337119068111
L26	L26	2.78828112679573
L27	L27	2.51972795899601
L28	L28	2.61503577789198
L29	L29	2.36088159416938
L3	L3	2.61401888862553
L4	L4	2.70115000771063
L5	L5	2.61503577789198
L6	L6	2.80565141568393
L7	L7	2.9009592345799
L8	L8	2.80565141568393
L9	L9	2.5088898859645
wyj30	wyj30	3.21158147214663
Y10	Y10	3.1551134183025
Y104	Y104	2.97450522301315
Y105	Y105	3.05980559940653
Y106	Y106	3.21865196423315
Y107	Y107	3.34572905609445
Y108	Y108	2.74211286975328
Y109	Y109	2.83742068864925
Y110	Y110	3.14930192661516
Y11	Y11	3.0280363264412
Y114	Y114	3.25042123719848
Y1	Y1	3.21865196423315
Y121	Y121	3.0280363264412
Y12	Y12	3.12334414533718
Y123	Y123	2.96449778051055
Y125	Y125	3.2821905101638
Y131	Y131	2.99626705347588
Y13	Y13	3.18688269126783
Y14	Y14	3.1551134183025
Y15	Y15	3.1551134183025
Y17	Y17	3.25042123719848
Y18	Y18	3.21865196423315
Y19	Y19	3.09157487237185
Y20	Y20	2.71034359678795
Y210	Y210	3.05980559940653
Y21	Y21	2.99626705347588
Y219	Y219	3.12334414533718
Y2	Y2	2.9009592345799
Y220	Y220	2.83742068864925
Y22	Y22	3.25042123719848
Y229	Y229	3.12334414533718
Y23	Y23	3.05980559940653
Y24	Y24	2.9009592345799
Y243	Y243	3.31395978312913
Y244	Y244	3.18688269126783
Y245	Y245	3.1551134183025
Y246	Y246	3.25042123719848
Y247	Y247	2.86918996161458
Y248	Y248	3.23281513054507
Y249	Y249	2.95344592831587
Y250	Y250	2.86032286090614
Y251	Y251	2.64680505085731
Y25	Y25	2.99626705347588
Y252	Y252	3.02824903528494
Y253	Y253	3.12334414533718
Y254	Y254	3.18688269126783
Y255	Y255	2.76685567802964
Y256	Y256	2.99626705347588
Y257	Y257	2.83742068864925
Y3	Y3	2.99626705347588
Y4	Y4	2.93272850754523
Y42	Y42	3.05980559940653
Y5	Y5	2.83742068864925
Y6	Y6	3.05980559940653
Y7	Y7	3.05980559940653
Y8	Y8	3.18688269126783
Y86	Y86	3.12334414533718
Y87	Y87	2.83742068864925
Y88	Y88	2.99626705347588
Y90	Y90	2.74211286975328
Y91	Y91	2.99626705347588
Y9	Y9	3.25042123719848
Y92	Y92	2.80565141568393
Y94	Y94	3.4092676020251
Y95	Y95	3.2821905101638
Y96	Y96	3.37749832905978
Y97	Y97	3.2821905101638
Y99	Y99	3.31395978312913
yangzhou_199_100	yangzhou_199_100	3.21158147214663
yangzhou_199_101	yangzhou_199_101	3.28391079198818
yangzhou_199_10	yangzhou_199_10	3.04281305918302
yangzhou_199_102	yangzhou_199_102	3.28391079198818
yangzhou_199_103	yangzhou_199_103	3.1633619255856
yangzhou_199_104	yangzhou_199_104	3.4526792049518
yangzhou_199_105	yangzhou_199_105	3.28391079198818
yangzhou_199_106	yangzhou_199_106	3.18747169886612
yangzhou_199_107	yangzhou_199_107	3.23569124542715
yangzhou_199_108	yangzhou_199_108	3.38034988511025
yangzhou_199_109	yangzhou_199_109	3.3080205652687
yangzhou_199_110	yangzhou_199_110	3.13925215230509
yangzhou_199_111	yangzhou_199_111	3.1633619255856
yangzhou_199_11	yangzhou_199_11	3.28391079198818
yangzhou_199_112	yangzhou_199_112	3.0187032859025
yangzhou_199_113	yangzhou_199_113	3.28391079198818
yangzhou_199_114	yangzhou_199_114	3.13925215230509
yangzhou_199_115	yangzhou_199_115	3.28391079198818
yangzhou_199_116	yangzhou_199_116	3.14930192661516
yangzhou_199_117	yangzhou_199_117	3.06692283246354
yangzhou_199_118	yangzhou_199_118	3.1633619255856
yangzhou_199_119	yangzhou_199_119	3.23569124542715
yangzhou_199_1	yangzhou_199_1	3.11514237902457
yangzhou_199_120	yangzhou_199_120	3.1633619255856
yangzhou_199_121	yangzhou_199_121	3.06670937445413
yangzhou_199_12	yangzhou_199_12	3.1633619255856
yangzhou_199_122	yangzhou_199_122	3.4161713770727
yangzhou_199_123	yangzhou_199_123	3.1633619255856
yangzhou_199_124	yangzhou_199_124	3.18747169886612
yangzhou_199_125	yangzhou_199_125	3.18747169886612
yangzhou_199_126	yangzhou_199_126	3.28391079198818
yangzhou_199_127	yangzhou_199_127	3.09157487237185
yangzhou_199_128	yangzhou_199_128	3.09103260574405
yangzhou_199_129	yangzhou_199_129	3.06692283246354
yangzhou_199_130	yangzhou_199_130	3.25980101870767
yangzhou_199_131	yangzhou_199_131	3.32086355817673
yangzhou_199_13	yangzhou_199_13	3.09103260574405
yangzhou_199_132	yangzhou_199_132	3.35263283114205
yangzhou_199_133	yangzhou_199_133	3.04281305918302
yangzhou_199_134	yangzhou_199_134	2.92226419278044
yangzhou_199_135	yangzhou_199_135	2.94637396606095
yangzhou_199_136	yangzhou_199_136	3.11514237902457
yangzhou_199_137	yangzhou_199_137	2.87609373666218
yangzhou_199_138	yangzhou_199_138	2.94637396606095
yangzhou_199_139	yangzhou_199_139	3.13024792038478
yangzhou_199_140	yangzhou_199_140	2.92226419278044
yangzhou_199_141	yangzhou_199_141	2.82582509965837
yangzhou_199_14	yangzhou_199_14	3.1633619255856
yangzhou_199_142	yangzhou_199_142	3.13925215230509
yangzhou_199_143	yangzhou_199_143	2.84993487293889
yangzhou_199_144	yangzhou_199_144	3.50089875151283
yangzhou_199_145	yangzhou_199_145	3.21158147214663
yangzhou_199_146	yangzhou_199_146	3.28391079198818
yangzhou_199_147	yangzhou_199_147	3.71788671103748
yangzhou_199_148	yangzhou_199_148	3.51147919596868
yangzhou_199_149	yangzhou_199_149	3.50089875151283
yangzhou_199_150	yangzhou_199_150	3.4526792049518
yangzhou_199_151	yangzhou_199_151	3.42856943167128
yangzhou_199_15	yangzhou_199_15	3.25980101870767
yangzhou_199_152	yangzhou_199_152	3.11514237902457
yangzhou_199_153	yangzhou_199_153	3.3080205652687
yangzhou_199_154	yangzhou_199_154	3.3080205652687
yangzhou_199_155	yangzhou_199_155	3.64555739119593
yangzhou_199_156	yangzhou_199_156	3.13925215230509
yangzhou_199_157	yangzhou_199_157	3.42856943167128
yangzhou_199_158	yangzhou_199_158	3.4526792049518
yangzhou_199_159	yangzhou_199_159	3.18747169886612
yangzhou_199_160	yangzhou_199_160	2.89815441949992
yangzhou_199_161	yangzhou_199_161	3.1633619255856
yangzhou_199_16	yangzhou_199_16	3.23569124542715
yangzhou_199_162	yangzhou_199_162	3.1633619255856
yangzhou_199_163	yangzhou_199_163	3.09103260574405
yangzhou_199_164	yangzhou_199_164	3.1633619255856
yangzhou_199_165	yangzhou_199_165	3.13925215230509
yangzhou_199_166	yangzhou_199_166	3.09103260574405
yangzhou_199_167	yangzhou_199_167	3.23569124542715
yangzhou_199_168	yangzhou_199_168	2.97048373934147
yangzhou_199_169	yangzhou_199_169	3.21158147214663
yangzhou_199_170	yangzhou_199_170	3.21158147214663
yangzhou_199_171	yangzhou_199_171	2.89815441949992
yangzhou_199_17	yangzhou_199_17	3.25980101870767
yangzhou_199_172	yangzhou_199_172	3.0187032859025
yangzhou_199_173	yangzhou_199_173	3.28391079198818
yangzhou_199_174	yangzhou_199_174	3.33213033854922
yangzhou_199_175	yangzhou_199_175	3.13925215230509
yangzhou_199_176	yangzhou_199_176	3.09103260574405
yangzhou_199_177	yangzhou_199_177	2.84993487293889
yangzhou_199_178	yangzhou_199_178	2.84993487293889
yangzhou_199_179	yangzhou_199_179	3.06692283246354
yangzhou_199_180	yangzhou_199_180	3.13925215230509
yangzhou_199_181	yangzhou_199_181	3.18747169886612
yangzhou_199_18	yangzhou_199_18	3.23569124542715
yangzhou_199_182	yangzhou_199_182	2.65705668669475
yangzhou_199_183	yangzhou_199_183	3.09103260574405
yangzhou_199_184	yangzhou_199_184	3.1633619255856
yangzhou_199_185	yangzhou_199_185	3.13925215230509
yangzhou_199_186	yangzhou_199_186	2.99459351262199
yangzhou_199_187	yangzhou_199_187	2.77760555309734
yangzhou_199_188	yangzhou_199_188	2.68116645997527
yangzhou_199_189	yangzhou_199_189	3.13925215230509
yangzhou_199_190	yangzhou_199_190	3.13925215230509
yangzhou_199_191	yangzhou_199_191	3.28391079198818
yangzhou_199_19	yangzhou_199_19	3.28391079198818
yangzhou_199_192	yangzhou_199_192	2.82582509965837
yangzhou_199_193	yangzhou_199_193	2.99459351262199
yangzhou_199_194	yangzhou_199_194	3.33213033854922
yangzhou_199_195	yangzhou_199_195	3.81432580415955
yangzhou_199_196	yangzhou_199_196	3.66966716447645
yangzhou_199_197	yangzhou_199_197	3.25980101870767
yangzhou_199_198	yangzhou_199_198	3.25980101870767
yangzhou_199_199	yangzhou_199_199	3.28391079198818
yangzhou_199_20	yangzhou_199_20	3.3080205652687
yangzhou_199_21	yangzhou_199_21	3.38034988511025
yangzhou_199_2	yangzhou_199_2	3.21158147214663
yangzhou_199_22	yangzhou_199_22	3.3080205652687
yangzhou_199_23	yangzhou_199_23	3.20159849647643
yangzhou_199_24	yangzhou_199_24	3.11514237902457
yangzhou_199_25	yangzhou_199_25	3.3080205652687
yangzhou_199_26	yangzhou_199_26	3.23569124542715
yangzhou_199_27	yangzhou_199_27	3.18747169886612
yangzhou_199_28	yangzhou_199_28	2.99459351262199
yangzhou_199_29	yangzhou_199_29	3.11514237902457
yangzhou_199_30	yangzhou_199_30	3.28391079198818
yangzhou_199_31	yangzhou_199_31	3.09103260574405
yangzhou_199_3	yangzhou_199_3	3.21158147214663
yangzhou_199_32	yangzhou_199_32	3.28391079198818
yangzhou_199_33	yangzhou_199_33	3.28391079198818
yangzhou_199_34	yangzhou_199_34	3.1633619255856
yangzhou_199_35	yangzhou_199_35	3.23569124542715
yangzhou_199_36	yangzhou_199_36	3.40445965839077
yangzhou_199_37	yangzhou_199_37	3.28391079198818
yangzhou_199_38	yangzhou_199_38	3.2821905101638
yangzhou_199_39	yangzhou_199_39	2.96449778051055
yangzhou_199_40	yangzhou_199_40	3.18747169886612
yangzhou_199_41	yangzhou_199_41	3.23569124542715
yangzhou_199_4	yangzhou_199_4	3.21158147214663
yangzhou_199_42	yangzhou_199_42	3.13925215230509
yangzhou_199_43	yangzhou_199_43	3.33213033854922
yangzhou_199_44	yangzhou_199_44	3.38034988511025
yangzhou_199_45	yangzhou_199_45	3.09103260574405
yangzhou_199_46	yangzhou_199_46	3.35624011182973
yangzhou_199_47	yangzhou_199_47	3.28391079198818
yangzhou_199_48	yangzhou_199_48	3.13925215230509
yangzhou_199_49	yangzhou_199_49	3.2890942852114
yangzhou_199_50	yangzhou_199_50	3.04281305918302
yangzhou_199_51	yangzhou_199_51	3.21158147214663
yangzhou_199_5	yangzhou_199_5	3.11514237902457
yangzhou_199_52	yangzhou_199_52	3.13925215230509
yangzhou_199_53	yangzhou_199_53	3.3080205652687
yangzhou_199_54	yangzhou_199_54	3.40445965839077
yangzhou_199_55	yangzhou_199_55	3.23569124542715
yangzhou_199_56	yangzhou_199_56	3.23569124542715
yangzhou_199_57	yangzhou_199_57	3.23569124542715
yangzhou_199_58	yangzhou_199_58	3.35624011182973
yangzhou_199_59	yangzhou_199_59	3.33213033854922
yangzhou_199_60	yangzhou_199_60	3.28391079198818
yangzhou_199_61	yangzhou_199_61	3.21158147214663
yangzhou_199_6	yangzhou_199_6	3.3080205652687
yangzhou_199_62	yangzhou_199_62	3.28391079198818
yangzhou_199_63	yangzhou_199_63	3.21158147214663
yangzhou_199_64	yangzhou_199_64	3.35624011182973
yangzhou_199_65	yangzhou_199_65	3.4526792049518
yangzhou_199_66	yangzhou_199_66	3.23569124542715
yangzhou_199_67	yangzhou_199_67	3.25980101870767
yangzhou_199_68	yangzhou_199_68	3.38034988511025
yangzhou_199_69	yangzhou_199_69	3.25980101870767
yangzhou_199_70	yangzhou_199_70	3.25980101870767
yangzhou_199_71	yangzhou_199_71	3.3080205652687
yangzhou_199_7	yangzhou_199_7	3.25980101870767
yangzhou_199_72	yangzhou_199_72	3.21158147214663
yangzhou_199_73	yangzhou_199_73	3.09103260574405
yangzhou_199_74	yangzhou_199_74	3.18747169886612
yangzhou_199_75	yangzhou_199_75	3.22555573928076
yangzhou_199_76	yangzhou_199_76	3.3080205652687
yangzhou_199_77	yangzhou_199_77	3.28391079198818
yangzhou_199_78	yangzhou_199_78	2.99459351262199
yangzhou_199_79	yangzhou_199_79	2.94637396606095
yangzhou_199_80	yangzhou_199_80	3.3080205652687
yangzhou_199_81	yangzhou_199_81	3.33213033854922
yangzhou_199_8	yangzhou_199_8	3.09847864741946
yangzhou_199_82	yangzhou_199_82	3.18747169886612
yangzhou_199_83	yangzhou_199_83	3.16201719335011
yangzhou_199_84	yangzhou_199_84	2.77760555309734
yangzhou_199_85	yangzhou_199_85	3.3080205652687
yangzhou_199_86	yangzhou_199_86	3.06692283246354
yangzhou_199_87	yangzhou_199_87	3.40445965839077
yangzhou_199_88	yangzhou_199_88	3.47678897823232
yangzhou_199_89	yangzhou_199_89	3.3080205652687
yangzhou_199_90	yangzhou_199_90	2.82582509965837
yangzhou_199_91	yangzhou_199_91	3.18747169886612
yangzhou_199_9	yangzhou_199_9	3.06692283246354
yangzhou_199_92	yangzhou_199_92	3.21158147214663
yangzhou_199_93	yangzhou_199_93	3.33213033854922
yangzhou_199_94	yangzhou_199_94	3.21158147214663
yangzhou_199_95	yangzhou_199_95	3.1633619255856
yangzhou_199_96	yangzhou_199_96	3.1633619255856
yangzhou_199_97	yangzhou_199_97	3.1633619255856
yangzhou_199_98	yangzhou_199_98	3.23569124542715
yangzhou_199_99	yangzhou_199_99	3.23569124542715
yangzhou_226_100	yangzhou_226_100	2.70527623325579
yangzhou_226_101	yangzhou_226_101	2.68116645997527
yangzhou_226_10	yangzhou_226_10	2.56061759357269
yangzhou_226_102	yangzhou_226_102	2.65705668669475
yangzhou_226_103	yangzhou_226_103	2.75349577981682
yangzhou_226_104	yangzhou_226_104	2.75349577981682
yangzhou_226_105	yangzhou_226_105	3.09103260574405
yangzhou_226_106	yangzhou_226_106	2.63294691341424
yangzhou_226_107	yangzhou_226_107	2.70527623325579
yangzhou_226_108	yangzhou_226_108	2.82582509965837
yangzhou_226_109	yangzhou_226_109	2.70527623325579
yangzhou_226_110	yangzhou_226_110	2.7293860065363
yangzhou_226_111	yangzhou_226_111	2.75349577981682
yangzhou_226_11	yangzhou_226_11	2.39184918060907
yangzhou_226_112	yangzhou_226_112	2.53650782029217
yangzhou_226_113	yangzhou_226_113	2.56061759357269
yangzhou_226_114	yangzhou_226_114	2.46417850045062
yangzhou_226_115	yangzhou_226_115	2.65370882590491
yangzhou_226_116	yangzhou_226_116	2.60883714013372
yangzhou_226_117	yangzhou_226_117	2.5847273668532
yangzhou_226_118	yangzhou_226_118	2.65705668669475
yangzhou_226_119	yangzhou_226_119	2.5847273668532
yangzhou_226_1	yangzhou_226_1	2.5847273668532
yangzhou_226_120	yangzhou_226_120	2.63294691341424
yangzhou_226_121	yangzhou_226_121	2.7293860065363
yangzhou_226_12	yangzhou_226_12	2.31951986076752
yangzhou_226_122	yangzhou_226_122	2.92226419278044
yangzhou_226_123	yangzhou_226_123	2.74169755448883
yangzhou_226_124	yangzhou_226_124	2.84993487293889
yangzhou_226_125	yangzhou_226_125	2.7738821427186
yangzhou_226_126	yangzhou_226_126	2.7293860065363
yangzhou_226_127	yangzhou_226_127	2.64680505085731
