FID	IID	GYP_BLUP
1701	1701	28.024659348335
1702	1702	26.6727206554009
1703	1703	28.1961366611045
1704	1704	27.4424956723197
1705	1705	29.7722874148108
1706	1706	24.8955295897525
1707	1707	27.7381256640462
1708	1708	26.8933827447355
1709	1709	26.9309632094284
1710	1710	29.4436833086225
1711	1711	29.6722280329957
1712	1712	26.0700902876507
1713	1713	25.9165900996388
1714	1714	27.5873496766861
1715	1715	26.129216285996
1716	1716	26.4339425851603
1717	1717	28.2293262656842
1718	1718	28.4880414209949
1719	1719	26.8132257265123
1720	1720	25.3650546866432
1721	1721	30.8104035011429
1722	1722	25.779008449643
1723	1723	31.1287742614638
1724	1724	25.823352948402
1725	1725	27.9064073516444
1726	1726	31.1935854519577
1727	1727	25.8006121798076
1728	1728	24.3157193701528
1729	1729	27.0354359144808
1730	1730	25.7094368241731
1731	1731	26.298124238754
1732	1732	27.0192663216156
1733	1733	24.9990000868568
1734	1734	25.9316663231774
1735	1735	27.2253069167189
1736	1736	26.7926216670019
1737	1737	25.7505824889001
1738	1738	26.5249056595377
1739	1739	25.728569165147
1740	1740	23.2560820239072
1741	1741	23.5447279352481
1742	1742	24.879387569614
1743	1743	25.8904582041567
1744	1744	26.0462124806266
1745	1745	25.9066471080577
1746	1746	25.3037263860211
1747	1747	25.4242524595711
1748	1748	22.3690301989202
1749	1749	21.7049997559652
1750	1750	25.4640488046112
1751	1751	24.2826658761348
1752	1752	24.9785333951219
1753	1753	25.0945113149531
1754	1754	24.5782958678613
1755	1755	25.4924747653542
1756	1756	25.0228778938809
1757	1757	23.1869112526939
1758	1758	23.9176765401955
1759	1759	22.3612771537442
1760	1760	24.4423412520071
1761	1761	23.4532174446201
1762	1762	23.7790766496477
1763	1763	23.2855163946362
1764	1764	22.885245646012
1765	1765	23.915402463336
1766	1766	21.9291200604753
1767	1767	23.7255602370354
1768	1768	23.6505025916764
1769	1769	29.5084944991163
1770	1770	28.0947867508794
1771	1771	26.9491478922587
1772	1772	27.9741931868141
1773	1773	24.9529395339007
1774	1774	29.6005946119235
1775	1775	29.8621134507585
1776	1776	24.7033700951302
1777	1777	23.4025981315334
1778	1778	24.9842185872705
1779	1779	26.6499798868066
1780	1780	28.2643402034542
1781	1781	26.1656695704733
1783	1783	26.8336859692175
1784	1784	26.3936477514046
1787	1787	25.4003759315181
1788	1788	28.6784564454226
1789	1789	25.8165307178237
1790	1790	28.1743271867523
1791	1791	29.5914983044857
1792	1792	24.1348508802715
1793	1793	26.3218047770678
1794	1794	26.7721062769288
1795	1795	25.434030879906
1796	1796	26.4134758934253
1797	1797	29.7151024042253
1798	1798	29.0116087053298
1800	1800	31.550615518889
1802	1802	26.6295131950717
1804	1804	22.3030819699966
1805	1805	30.536377239581
1806	1806	22.957414079284
1808	1808	25.585711916591
1809	1809	24.405819758324
1810	1810	24.9147088144889
1811	1811	29.417531424739
1812	1812	23.0353242434393
1813	1813	23.7608814819103
EZ5	EZ5	27.1275360272879
GS179	GS179	NA
GS190	GS190	24.4700810920988
GS193	GS193	23.9868873889266
GS202	GS202	25.6780653500292
GS208	GS208	32.0458680811197
GS209	GS209	28.0422631119788
GS210	GS210	26.4546266586988
GS211	GS211	NA
GS212	GS212	26.6962235102849
GS217	GS217	NA
GS218	GS218	30.510002381751
GS228	GS228	28.6980259948553
GS230	GS230	27.8869508502449
GS232	GS232	27.576326326777
GS233	GS233	22.8479308028779
GS234	GS234	28.0767769479197
GS235	GS235	27.8179231783631
L10	L10	26.1960189471312
L11	L11	24.634717165562
L1	L1	24.4700810920988
L13	L13	25.531289334144
L14	L14	26.4891404946396
L15	L15	24.6426502718031
L16	L16	28.7325398307962
L17	L17	24.6975797681067
L18	L18	26.5154636008787
L19	L19	23.6244921115474
L20	L20	25.1066509876949
L21	L21	25.2638993187388
L2	L2	25.8506345297336
L22	L22	27.2903413955113
L23	L23	27.5289627031299
L24	L24	21.7952588066813
L25	L25	23.593724332222
L26	L26	25.6953222679996
L27	L27	24.3104512594742
L28	L28	25.5212081524678
L29	L29	33.2148209577847
L3	L3	24.5218518460101
L4	L4	26.3510851508762
L5	L5	28.2961430362264
L6	L6	28.6040414976698
L7	L7	26.5585488725877
L8	L8	24.5393510405752
L9	L9	27.7038334363269
wyj30	wyj30	21.7709479848888
