FID	IID	PH_BLUP
1701	1701	94.232018826568
1702	1702	90.7995886870307
1703	1703	78.1481139494726
1704	1704	79.025984229908
1705	1705	92.0544556197648
1706	1706	85.3372267445412
1707	1707	93.2724147015361
1708	1708	86.7193107471244
1709	1709	79.8332317585325
1710	1710	81.6095337973017
1711	1711	81.2035474367113
1712	1712	80.5274431761463
1713	1713	81.3696327660437
1714	1714	80.0159785131153
1715	1715	79.9671344294586
1716	1716	76.8853288740676
1717	1717	86.6474554537194
1718	1718	82.083032711441
1719	1719	80.6774358565795
1720	1720	80.1813428489814
1721	1721	79.3027931121288
1722	1722	83.3811106435145
1723	1723	80.1147658333097
1724	1724	80.0594040568655
1725	1725	86.0384759128337
1726	1726	80.4284825664932
1727	1727	81.3511788405624
1728	1728	76.1299166202632
1729	1729	77.3651309365835
1730	1730	78.2796529865218
1731	1731	86.4651876118913
1732	1732	80.2640250169144
1733	1733	81.0190081818974
1734	1734	89.7724743292123
1735	1735	83.7366760701015
1736	1736	81.0908466962447
1737	1737	82.2923290401129
1738	1738	79.6165098453123
1739	1739	88.61492397815
1740	1740	80.6774358565795
1741	1741	86.5367319008311
1742	1742	80.0986606810484
1743	1743	79.6852498413832
1744	1744	83.6394656002539
1745	1745	76.9567382995934
1746	1746	82.9382164319613
1747	1747	87.736237057121
1748	1748	93.6414932111637
1749	1749	86.2230151676476
1750	1750	117.908405219183
1751	1751	88.7327490331157
1752	1752	80.9821003309347
1753	1753	85.3187728190598
1754	1754	97.2584626055149
1755	1755	94.7487287400467
1756	1756	89.0095579153365
1757	1757	84.7288620852978
1758	1758	90.9841279418445
1759	1759	76.6260096278613
1760	1760	133.095985890362
1761	1761	107.020589185167
1762	1762	76.8026524537124
1763	1763	79.2718390017181
1764	1764	83.1043017612938
1765	1765	88.1422234177115
1766	1766	80.9082846290092
1767	1767	85.8141083525115
1768	1768	78.0316064827227
1769	1769	81.4619023934507
1770	1770	77.918748701025
1771	1771	129.165299762827
1772	1772	101.754439329819
1773	1773	93.032513670278
1774	1774	87.5332438768258
1775	1775	119.772251692803
1776	1776	78.3062811361341
1777	1777	77.2728613091766
1778	1778	77.1067759798442
1779	1779	81.9970662324108
1780	1780	82.3310792152401
1781	1781	82.165714879374
1783	1783	86.1849581424769
1784	1784	97.8620690329834
1787	1787	84.3981334135657
1788	1788	88.6589333311902
1789	1789	87.8285066845279
1790	1790	87.8588360493074
1791	1791	87.8838684609721
1792	1792	91.3162986005094
1793	1793	119.858487222077
1794	1794	113.159989501941
1795	1795	84.5990697252858
1796	1796	84.5806157998044
1797	1797	94.3981041559005
1798	1798	85.2080492661715
1800	1800	83.1965713887007
1802	1802	104.566217096143
1804	1804	90.3013326990333
1805	1805	89.2863667975572
1806	1806	92.3768257134551
1808	1808	92.2389948745786
1809	1809	93.7572593652397
1810	1810	88.697606146083
1811	1811	125.160797933367
1812	1812	87.3746914591546
1813	1813	85.9690946042932
EZ5	EZ5	108.626080702047
GS179	GS179	125.400561962584
GS190	GS190	125.68994955035
GS193	GS193	109.980337643075
GS202	GS202	108.037306696649
GS208	GS208	83.3980206526076
GS209	GS209	110.39374848274
GS210	GS210	104.895384315194
GS211	GS211	NA
GS212	GS212	104.068562635864
GS217	GS217	101.174686758208
GS218	GS218	89.5991832475845
GS228	GS228	117.959166848612
GS230	GS230	117.711120344813
GS232	GS232	134.371577183318
GS233	GS233	93.1545164687046
GS234	GS234	118.372577688277
GS235	GS235	112.336779429166
L10	L10	108.626080702047
L11	L11	103.791152225925
L1	L1	85.5845261325778
L13	L13	106.181162231302
L14	L14	111.236042040876
L15	L15	94.856510788143
L16	L16	105.269212798809
L17	L17	95.1731690261186
L18	L18	101.539773317196
L19	L19	85.9647652509448
L20	L20	80.4284825664932
L21	L21	89.474664805102
L2	L2	97.2841913131016
L22	L22	92.165179172653
L23	L23	86.149199465722
L24	L24	74.177352581567
L25	L25	81.8678887540411
L26	L26	92.9845643592591
L27	L27	79.0813460063522
L28	L28	92.3866262784296
L29	L29	95.6714250141159
L3	L3	102.753784784997
L4	L4	106.351431828008
L5	L5	104.270954288441
L6	L6	99.2699404829857
L7	L7	104.879933829326
L8	L8	106.190162538504
L9	L9	103.42728913569
wyj30	wyj30	87.1826192926795
Y10	Y10	77.9741104774692
Y104	Y104	86.9978656734659
Y105	Y105	85.6693974032061
Y106	Y106	82.439960443964
Y107	Y107	81.6648955737459
Y108	Y108	78.1032879558389
Y109	Y109	78.2878272106527
Y110	Y110	71.6892314256188
Y11	Y11	74.0065164989717
Y114	Y114	80.8713767780464
Y1	Y1	67.9351750155966
Y121	Y121	73.1576359268281
Y12	Y12	82.827492879073
Y123	Y123	79.0628920808708
Y125	Y125	79.118253857315
Y131	Y131	87.9576841628976
Y13	Y13	85.9646602109082
Y14	Y14	85.281864968097
Y15	Y15	80.133219758791
Y17	Y17	75.1691138042989
Y18	Y18	74.4863185614877
Y19	Y19	83.3442027925518
Y20	Y20	84.7836089800997
Y210	Y210	98.1442510286213
Y21	Y21	75.2798373571872
Y219	Y219	95.5976093121904
Y2	Y2	79.505786292424
Y220	Y220	81.7571652011528
Y22	Y22	63.912219260655
Y229	Y229	74.0987861263787
Y23	Y23	77.8449329990995
Y24	Y24	76.423980737033
Y243	Y243	75.1691138042989
Y244	Y244	69.2823115757376
Y245	Y245	80.8344689270836
Y246	Y246	71.1461580493573
Y247	Y247	88.1237694922301
Y248	Y248	93.0557275094147
Y249	Y249	84.6599752993801
Y250	Y250	92.7841667910309
Y251	Y251	96.7417526920362
Y25	Y25	83.2150253141821
Y252	Y252	78.3623351544548
Y253	Y253	78.5461821673921
Y254	Y254	97.0554694252197
Y255	Y255	104.664948220325
Y256	Y256	96.0774113747063
Y257	Y257	96.2434967040388
Y3	Y3	80.6868375232325
Y4	Y4	88.3636705234881
Y42	Y42	78.7491753476873
Y5	Y5	83.7686430786236
Y6	Y6	76.3132571841447
Y7	Y7	71.7735915157243
Y8	Y8	79.265885261166
Y86	Y86	84.2299912156582
Y87	Y87	73.5820762128999
Y88	Y88	84.3407147685465
Y90	Y90	81.1850935112299
Y91	Y91	76.5531582154027
Y9	Y9	79.3950627395357
Y92	Y92	76.5347042899213
Y94	Y94	82.7352232516661
Y95	Y95	80.3362129390863
Y96	Y96	81.2404552876741
Y97	Y97	86.8873564849774
Y99	Y99	85.3741345955039
yangzhou_199_100	yangzhou_199_100	84.5252540233603
yangzhou_199_101	yangzhou_199_101	86.7397250811263
yangzhou_199_10	yangzhou_199_10	83.9716362589188
yangzhou_199_102	yangzhou_199_102	86.2230151676476
yangzhou_199_103	yangzhou_199_103	88.8619265114854
yangzhou_199_104	yangzhou_199_104	81.5172641698948
yangzhou_199_105	yangzhou_199_105	87.1457114417168
yangzhou_199_106	yangzhou_199_106	82.9013085809986
yangzhou_199_107	yangzhou_199_107	84.6175236507672
yangzhou_199_108	yangzhou_199_108	89.8953463384429
yangzhou_199_109	yangzhou_199_109	85.3003188935784
yangzhou_199_110	yangzhou_199_110	87.1457114417167
yangzhou_199_111	yangzhou_199_111	80.0224962059027
yangzhou_199_11	yangzhou_199_11	84.0639058863257
