FID	IID	PL_BLUP
1701	1701	14.55
1702	1702	16.65
1703	1703	22.1
1704	1704	18.35
1705	1705	18.1
1706	1706	15.6
1707	1707	16.05
1708	1708	14.5
1709	1709	NA
1710	1710	14.5
1711	1711	13.9
1712	1712	16.0
1713	1713	12.9
1714	1714	NA
1715	1715	15.3
1716	1716	15.25
1717	1717	15.75
1718	1718	NA
1719	1719	NA
1720	1720	NA
1721	1721	13.05
1722	1722	13.7
1723	1723	13.8
1724	1724	13.65
1725	1725	15.1
1726	1726	14.3
1727	1727	12.65
1728	1728	NA
1729	1729	12.75
1730	1730	9.5
1731	1731	8.9
1732	1732	12.2
1733	1733	14.65
1734	1734	NA
1735	1735	NA
1736	1736	NA
1737	1737	13.6
1738	1738	14.25
1739	1739	NA
1740	1740	NA
1741	1741	14.25
1742	1742	NA
1743	1743	NA
1744	1744	13.8
1745	1745	NA
1746	1746	14.4
1747	1747	15.65
1748	1748	16.2
1749	1749	16.85
1750	1750	18.15
1751	1751	13.9
1752	1752	13.7
1753	1753	12.5
1754	1754	16.7
1755	1755	19.4
1756	1756	17.049999999999997
1757	1757	NA
1758	1758	18.7
1759	1759	NA
1760	1760	20.8
1761	1761	17.65
1762	1762	15.2
1763	1763	NA
1764	1764	13.95
1765	1765	13.3
1766	1766	16.950000000000003
1767	1767	12.4
1768	1768	NA
1769	1769	13.8
1770	1770	15.4
1771	1771	19.55
1772	1772	19.8
1773	1773	16.55
1774	1774	14.9
1775	1775	18.2
1776	1776	12.4
1777	1777	13.1
1778	1778	18.25
1779	1779	13.05
1780	1780	NA
1781	1781	NA
1783	1783	18.0
1784	1784	18.0
1787	1787	NA
1788	1788	14.95
1789	1789	16.6
1790	1790	18.3
1791	1791	22.200000000000003
1792	1792	15.1
1793	1793	20.5
1794	1794	24.9
1795	1795	14.05
1796	1796	13.4
1797	1797	15.4
1798	1798	13.6
1800	1800	14.05
1802	1802	17.65
1804	1804	14.85
1805	1805	16.0
1806	1806	13.7
1808	1808	16.950000000000003
1809	1809	12.7
1810	1810	NA
1811	1811	20.55
1812	1812	NA
1813	1813	NA
EZ5	EZ5	18.5
GS179	GS179	NA
GS190	GS190	21.6
GS193	GS193	21.6
GS202	GS202	19.9
GS208	GS208	NA
GS209	GS209	17.8
GS210	GS210	16.1
GS211	GS211	NA
GS212	GS212	21.0
GS217	GS217	23.3
GS218	GS218	21.3
GS228	GS228	24.7
GS230	GS230	17.6
GS232	GS232	19.2
GS233	GS233	17.9
GS234	GS234	19.5
GS235	GS235	19.0
L10	L10	20.7
L11	L11	21.8
L1	L1	19.0
L13	L13	21.8
L14	L14	22.9
L15	L15	21.6
L16	L16	19.6
L17	L17	22.85
L18	L18	22.9
L19	L19	16.5
L20	L20	18.200000000000003
L21	L21	14.5
L2	L2	21.0
L22	L22	18.9
L23	L23	21.95
L24	L24	13.6
L25	L25	18.4
L26	L26	18.6
L27	L27	20.2
L28	L28	22.65
L29	L29	21.35
L3	L3	24.9
L4	L4	22.5
L5	L5	23.5
L6	L6	22.8
L7	L7	21.9
L8	L8	24.35
L9	L9	21.85
wyj30	wyj30	15.25
Y10	Y10	14.1
Y104	Y104	16.25
Y105	Y105	16.95
Y106	Y106	17.3
Y107	Y107	16.9
Y108	Y108	14.9
Y109	Y109	15.75
Y110	Y110	14.3
Y11	Y11	14.75
Y114	Y114	15.95
Y1	Y1	14.7
Y121	Y121	15.9
Y12	Y12	14.55
Y123	Y123	19.7
Y125	Y125	14.3
Y131	Y131	19.6
Y13	Y13	14.3
Y14	Y14	14.3
Y15	Y15	14.1
Y17	Y17	14.5
Y18	Y18	14.95
Y19	Y19	14.55
Y20	Y20	17.35
Y210	Y210	20.0
Y21	Y21	16.25
Y219	Y219	17.55
Y2	Y2	15.7
Y220	Y220	15.3
Y22	Y22	11.9
Y229	Y229	14.35
Y23	Y23	15.15
Y24	Y24	15.6
Y243	Y243	14.1
Y244	Y244	14.3
Y245	Y245	16.1
Y246	Y246	13.5
Y247	Y247	19.05
Y248	Y248	18.1
Y249	Y249	16.2
Y250	Y250	15.5
Y251	Y251	18.5
Y25	Y25	18.8
Y252	Y252	NA
Y253	Y253	17.45
Y254	Y254	20.75
Y255	Y255	16.2
Y256	Y256	19.6
Y257	Y257	20.65
Y3	Y3	15.8
Y4	Y4	16.85
Y42	Y42	16.4
Y5	Y5	16.450000000000003
Y6	Y6	13.45
Y7	Y7	14.75
Y8	Y8	15.65
Y86	Y86	15.15
Y87	Y87	14.6
Y88	Y88	18.5
Y90	Y90	14.25
Y91	Y91	15.45
Y9	Y9	13.8
Y92	Y92	15.05
Y94	Y94	17.450000000000003
Y95	Y95	20.55
Y96	Y96	21.05
Y97	Y97	16.45
Y99	Y99	19.05
yangzhou_199_100	yangzhou_199_100	14.5
yangzhou_199_101	yangzhou_199_101	15.35
yangzhou_199_10	yangzhou_199_10	15.85
yangzhou_199_102	yangzhou_199_102	16.75
yangzhou_199_103	yangzhou_199_103	13.25
yangzhou_199_104	yangzhou_199_104	14.7
yangzhou_199_105	yangzhou_199_105	15.8
yangzhou_199_106	yangzhou_199_106	17.8
yangzhou_199_107	yangzhou_199_107	15.45
yangzhou_199_108	yangzhou_199_108	15.7
yangzhou_199_109	yangzhou_199_109	14.2
yangzhou_199_110	yangzhou_199_110	15.9
yangzhou_199_111	yangzhou_199_111	16.85
yangzhou_199_11	yangzhou_199_11	16.5
yangzhou_199_112	yangzhou_199_112	15.35
yangzhou_199_113	yangzhou_199_113	14.45
yangzhou_199_114	yangzhou_199_114	14.3
yangzhou_199_115	yangzhou_199_115	14.4
yangzhou_199_116	yangzhou_199_116	16.9
yangzhou_199_117	yangzhou_199_117	15.7
yangzhou_199_118	yangzhou_199_118	13.95
yangzhou_199_119	yangzhou_199_119	14.3
yangzhou_199_1	yangzhou_199_1	15.15
yangzhou_199_120	yangzhou_199_120	15.45
yangzhou_199_121	yangzhou_199_121	14.25
yangzhou_199_12	yangzhou_199_12	16.75
yangzhou_199_122	yangzhou_199_122	14.35
yangzhou_199_123	yangzhou_199_123	14.7
yangzhou_199_124	yangzhou_199_124	14.6
yangzhou_199_125	yangzhou_199_125	14.3
yangzhou_199_126	yangzhou_199_126	15.0
yangzhou_199_127	yangzhou_199_127	15.1
yangzhou_199_128	yangzhou_199_128	14.35
yangzhou_199_129	yangzhou_199_129	18.2
yangzhou_199_130	yangzhou_199_130	17.4
yangzhou_199_131	yangzhou_199_131	17.2
yangzhou_199_13	yangzhou_199_13	18.0
yangzhou_199_132	yangzhou_199_132	17.1
yangzhou_199_133	yangzhou_199_133	19.65
yangzhou_199_134	yangzhou_199_134	17.450000000000003
yangzhou_199_135	yangzhou_199_135	13.95
yangzhou_199_136	yangzhou_199_136	15.7
yangzhou_199_137	yangzhou_199_137	16.1
yangzhou_199_138	yangzhou_199_138	16.5
yangzhou_199_139	yangzhou_199_139	16.85
yangzhou_199_140	yangzhou_199_140	26.75
yangzhou_199_141	yangzhou_199_141	22.950000000000003
yangzhou_199_14	yangzhou_199_14	16.85
yangzhou_199_142	yangzhou_199_142	18.8
yangzhou_199_143	yangzhou_199_143	22.0
yangzhou_199_144	yangzhou_199_144	18.15
yangzhou_199_145	yangzhou_199_145	22.0
yangzhou_199_146	yangzhou_199_146	18.85
yangzhou_199_147	yangzhou_199_147	23.05
yangzhou_199_148	yangzhou_199_148	21.1
yangzhou_199_149	yangzhou_199_149	20.35
yangzhou_199_150	yangzhou_199_150	24.5
yangzhou_199_151	yangzhou_199_151	24.5
yangzhou_199_15	yangzhou_199_15	13.9
yangzhou_199_152	yangzhou_199_152	20.75
yangzhou_199_153	yangzhou_199_153	22.15
yangzhou_199_154	yangzhou_199_154	21.2
yangzhou_199_155	yangzhou_199_155	19.700000000000003
yangzhou_199_156	yangzhou_199_156	15.2
yangzhou_199_157	yangzhou_199_157	17.5
yangzhou_199_158	yangzhou_199_158	23.05
yangzhou_199_159	yangzhou_199_159	25.6
yangzhou_199_160	yangzhou_199_160	15.4
yangzhou_199_161	yangzhou_199_161	18.3
yangzhou_199_16	yangzhou_199_16	18.3
yangzhou_199_162	yangzhou_199_162	18.4
yangzhou_199_163	yangzhou_199_163	20.1
yangzhou_199_164	yangzhou_199_164	16.15
yangzhou_199_165	yangzhou_199_165	12.35
yangzhou_199_166	yangzhou_199_166	11.8
yangzhou_199_167	yangzhou_199_167	15.75
yangzhou_199_168	yangzhou_199_168	16.9
yangzhou_199_169	yangzhou_199_169	21.35
yangzhou_199_170	yangzhou_199_170	23.1
yangzhou_199_171	yangzhou_199_171	18.25
yangzhou_199_17	yangzhou_199_17	16.8
yangzhou_199_172	yangzhou_199_172	18.35
yangzhou_199_173	yangzhou_199_173	15.05
yangzhou_199_174	yangzhou_199_174	18.0
yangzhou_199_175	yangzhou_199_175	30.6
yangzhou_199_176	yangzhou_199_176	13.85
yangzhou_199_177	yangzhou_199_177	21.7
yangzhou_199_178	yangzhou_199_178	21.9
yangzhou_199_179	yangzhou_199_179	18.45
yangzhou_199_180	yangzhou_199_180	20.6
yangzhou_199_181	yangzhou_199_181	21.0
yangzhou_199_18	yangzhou_199_18	13.95
yangzhou_199_182	yangzhou_199_182	20.05
yangzhou_199_183	yangzhou_199_183	20.0
yangzhou_199_184	yangzhou_199_184	15.45
yangzhou_199_185	yangzhou_199_185	17.7
yangzhou_199_186	yangzhou_199_186	18.0
yangzhou_199_187	yangzhou_199_187	19.7
yangzhou_199_188	yangzhou_199_188	18.9
yangzhou_199_189	yangzhou_199_189	15.2
yangzhou_199_190	yangzhou_199_190	14.05
yangzhou_199_191	yangzhou_199_191	18.3
yangzhou_199_19	yangzhou_199_19	17.1
yangzhou_199_192	yangzhou_199_192	16.6
yangzhou_199_193	yangzhou_199_193	19.0
yangzhou_199_194	yangzhou_199_194	14.0
yangzhou_199_195	yangzhou_199_195	22.85
yangzhou_199_196	yangzhou_199_196	20.5
yangzhou_199_197	yangzhou_199_197	21.4
yangzhou_199_198	yangzhou_199_198	21.85
yangzhou_199_199	yangzhou_199_199	21.45
yangzhou_199_20	yangzhou_199_20	15.6
yangzhou_199_21	yangzhou_199_21	16.65
yangzhou_199_2	yangzhou_199_2	15.85
yangzhou_199_22	yangzhou_199_22	17.4
yangzhou_199_23	yangzhou_199_23	14.8
yangzhou_199_24	yangzhou_199_24	16.700000000000003
yangzhou_199_25	yangzhou_199_25	13.8
yangzhou_199_26	yangzhou_199_26	14.55
yangzhou_199_27	yangzhou_199_27	15.1
yangzhou_199_28	yangzhou_199_28	15.35
yangzhou_199_29	yangzhou_199_29	14.75
yangzhou_199_30	yangzhou_199_30	14.1
yangzhou_199_31	yangzhou_199_31	14.75
yangzhou_199_3	yangzhou_199_3	14.8
yangzhou_199_32	yangzhou_199_32	14.45
yangzhou_199_33	yangzhou_199_33	11.45
yangzhou_199_34	yangzhou_199_34	13.05
yangzhou_199_35	yangzhou_199_35	14.5
yangzhou_199_36	yangzhou_199_36	15.7
yangzhou_199_37	yangzhou_199_37	15.25
yangzhou_199_38	yangzhou_199_38	19.0
yangzhou_199_39	yangzhou_199_39	14.95
yangzhou_199_40	yangzhou_199_40	14.75
yangzhou_199_41	yangzhou_199_41	14.75
yangzhou_199_4	yangzhou_199_4	14.8
yangzhou_199_42	yangzhou_199_42	14.95
yangzhou_199_43	yangzhou_199_43	13.75
yangzhou_199_44	yangzhou_199_44	13.1
yangzhou_199_45	yangzhou_199_45	14.85
yangzhou_199_46	yangzhou_199_46	15.3
yangzhou_199_47	yangzhou_199_47	16.15
yangzhou_199_48	yangzhou_199_48	15.15
yangzhou_199_49	yangzhou_199_49	13.95
yangzhou_199_50	yangzhou_199_50	13.9
yangzhou_199_51	yangzhou_199_51	14.1
yangzhou_199_5	yangzhou_199_5	15.65
yangzhou_199_52	yangzhou_199_52	14.9
yangzhou_199_53	yangzhou_199_53	14.6
yangzhou_199_54	yangzhou_199_54	16.0
yangzhou_199_55	yangzhou_199_55	16.8
yangzhou_199_56	yangzhou_199_56	13.25
yangzhou_199_57	yangzhou_199_57	14.5
yangzhou_199_58	yangzhou_199_58	14.2
yangzhou_199_59	yangzhou_199_59	14.65
yangzhou_199_60	yangzhou_199_60	14.0
yangzhou_199_61	yangzhou_199_61	14.75
yangzhou_199_6	yangzhou_199_6	13.6
yangzhou_199_62	yangzhou_199_62	17.9
yangzhou_199_63	yangzhou_199_63	15.8
yangzhou_199_64	yangzhou_199_64	14.5
yangzhou_199_65	yangzhou_199_65	13.5
yangzhou_199_66	yangzhou_199_66	14.45
yangzhou_199_67	yangzhou_199_67	15.95
yangzhou_199_68	yangzhou_199_68	13.55
yangzhou_199_69	yangzhou_199_69	14.7
yangzhou_199_70	yangzhou_199_70	14.1
yangzhou_199_71	yangzhou_199_71	13.65
yangzhou_199_7	yangzhou_199_7	14.85
yangzhou_199_72	yangzhou_199_72	12.35
yangzhou_199_73	yangzhou_199_73	14.7
yangzhou_199_74	yangzhou_199_74	14.1
yangzhou_199_75	yangzhou_199_75	15.2
yangzhou_199_76	yangzhou_199_76	15.8
yangzhou_199_77	yangzhou_199_77	15.95
yangzhou_199_78	yangzhou_199_78	15.45
yangzhou_199_79	yangzhou_199_79	15.25
yangzhou_199_80	yangzhou_199_80	15.75
yangzhou_199_81	yangzhou_199_81	14.3
yangzhou_199_8	yangzhou_199_8	14.75
yangzhou_199_82	yangzhou_199_82	14.05
yangzhou_199_83	yangzhou_199_83	14.7
yangzhou_199_84	yangzhou_199_84	14.8
yangzhou_199_85	yangzhou_199_85	15.05
yangzhou_199_86	yangzhou_199_86	13.95
yangzhou_199_87	yangzhou_199_87	13.05
yangzhou_199_88	yangzhou_199_88	13.5
yangzhou_199_89	yangzhou_199_89	13.0
yangzhou_199_90	yangzhou_199_90	13.1
yangzhou_199_91	yangzhou_199_91	13.45
yangzhou_199_9	yangzhou_199_9	15.65
yangzhou_199_92	yangzhou_199_92	14.65
yangzhou_199_93	yangzhou_199_93	15.25
yangzhou_199_94	yangzhou_199_94	16.0
yangzhou_199_95	yangzhou_199_95	15.2
yangzhou_199_96	yangzhou_199_96	14.45
yangzhou_199_97	yangzhou_199_97	15.25
yangzhou_199_98	yangzhou_199_98	14.2
yangzhou_199_99	yangzhou_199_99	15.25
yangzhou_226_100	yangzhou_226_100	20.55
yangzhou_226_101	yangzhou_226_101	21.05
yangzhou_226_10	yangzhou_226_10	18.65
yangzhou_226_102	yangzhou_226_102	20.6
yangzhou_226_103	yangzhou_226_103	22.75
yangzhou_226_104	yangzhou_226_104	21.85
yangzhou_226_105	yangzhou_226_105	24.2
yangzhou_226_106	yangzhou_226_106	22.7
yangzhou_226_107	yangzhou_226_107	19.6
yangzhou_226_108	yangzhou_226_108	23.9
yangzhou_226_109	yangzhou_226_109	21.65
yangzhou_226_110	yangzhou_226_110	25.2
yangzhou_226_111	yangzhou_226_111	23.25
yangzhou_226_11	yangzhou_226_11	19.55
yangzhou_226_112	yangzhou_226_112	23.55
yangzhou_226_113	yangzhou_226_113	21.45
yangzhou_226_114	yangzhou_226_114	23.1
yangzhou_226_115	yangzhou_226_115	21.8
yangzhou_226_116	yangzhou_226_116	22.6
yangzhou_226_117	yangzhou_226_117	25.9
yangzhou_226_118	yangzhou_226_118	22.85
yangzhou_226_119	yangzhou_226_119	23.7
yangzhou_226_1	yangzhou_226_1	18.8
yangzhou_226_120	yangzhou_226_120	21.6
yangzhou_226_121	yangzhou_226_121	20.75
yangzhou_226_12	yangzhou_226_12	20.7
yangzhou_226_122	yangzhou_226_122	22.0
