FID	IID	PPNP_BLUP
1701	1701	9.34481090682333
1702	1702	11.7672248682081
1703	1703	9.03179569325509
1704	1704	9.08455155560018
1705	1705	10.165628860681
1706	1706	9.68515005842285
1707	1707	8.76423235409475
1708	1708	8.59521213496156
1709	1709	10.7729247773452
1710	1710	10.6861475631273
1711	1711	9.82528970908147
1712	1712	7.17948838823915
1713	1713	8.22369370155435
1714	1714	7.99418057397277
1715	1715	9.74520990870511
1716	1716	8.54401290305977
1717	1717	10.8262872137859
1718	1718	7.22623846979158
1719	1719	7.76045906400458
1720	1720	7.66029270258964
1721	1721	9.48495055748196
1722	1722	8.22369370155435
1723	1723	9.96542935974009
1724	1724	8.90437200475337
1725	1725	8.64411265353022
1726	1726	9.70517000851693
1727	1727	10.2457086610573
1728	1728	7.66029270258964
1729	1729	10.1055690103987
1730	1730	7.56012634117471
1731	1731	7.99418057397277
1732	1732	8.66195631673902
1733	1733	7.96343435033119
1734	1734	7.56012634117471
1735	1735	8.22790208394096
1736	1736	7.99418057397277
1737	1737	10.626087712845
1738	1738	10.7662273635036
1739	1739	7.56012634117471
1740	1740	7.66029270258964
1741	1741	7.30277599722626
1742	1742	7.09268332123833
1743	1743	8.09434693538771
1744	1744	8.64411265353022
1745	1745	8.09434693538771
1746	1746	8.34381340211888
1747	1747	9.48495055748196
1748	1748	9.74520990870511
1749	1749	9.24471115635289
1750	1750	9.62509020814058
1751	1751	10.7462074134096
1752	1752	9.74520990870511
1753	1753	9.945409409646
1754	1754	11.2266862156677
1755	1755	8.42389320249524
1756	1756	9.56503035785831
1757	1757	7.99418057397277
1758	1758	10.2256887109632
1759	1759	8.22790208394096
1760	1760	8.42389320249524
1761	1761	10.7662273635036
1762	1762	9.68260636799042
1763	1763	7.99418057397277
1764	1764	10.6861475631273
1765	1765	9.74520990870511
1766	1766	9.36483085691742
1767	1767	9.49633460767201
1768	1768	8.09434693538771
1769	1769	12.8282822231948
1770	1770	11.5670253672672
1771	1771	11.4268857166086
1772	1772	8.43104737811478
1773	1773	9.36483085691742
1774	1774	9.30477100663515
1775	1775	9.88534955936373
1776	1776	8.82429220437702
1777	1777	10.2857485612455
1778	1778	9.56503035785831
1779	1779	10.6461076629391
1780	1780	8.22790208394096
1781	1781	8.56178995532408
1783	1783	8.95670215386255
1784	1784	10.0080117053581
1787	1787	7.76045906400458
1788	1788	8.76423235409475
1789	1789	9.03179569325509
1790	1790	8.03054850135458
1791	1791	7.56303534844941
1792	1792	8.96443185503564
1793	1793	9.35720103062275
1794	1794	9.18198277204016
1795	1795	10.9063670141623
1796	1796	9.56503035785831
1797	1797	10.40586826181
1798	1798	10.8863470640682
1800	1800	9.62509020814058
1802	1802	9.56503035785831
1804	1804	9.30477100663515
1805	1805	10.2857485612455
1806	1806	8.41999387637897
1808	1808	7.84331464976666
1809	1809	10.2472700015974
