FID	IID	PW_WenJ15
1701	1701	3.31
1702	1702	2.63
1703	1703	2.48
1704	1704	3.21
1705	1705	2.2
1706	1706	2.6
1707	1707	2.95
1708	1708	2.62
1709	1709	2.59
1710	1710	2.97
1711	1711	2.72
1712	1712	4.1
1713	1713	4.39
1714	1714	3.02
1715	1715	3.23
1716	1716	2.18
1717	1717	2.18
1718	1718	3.35
1719	1719	2.98
1720	1720	2.37
1721	1721	2.12
1722	1722	2.08
1723	1723	2.5
1724	1724	2.96
1725	1725	2.64
1726	1726	1.81
1727	1727	1.88
1728	1728	2.25
1729	1729	2.85
1730	1730	2.39
1731	1731	2.35
1732	1732	1.8
1733	1733	2.03
1734	1734	3.37
1735	1735	2.08
1736	1736	2.5
1737	1737	2.14
1738	1738	2.23
1739	1739	3.16
1740	1740	2.53
1741	1741	2.79
1742	1742	3.05
1743	1743	3.25
1744	1744	2.13
1745	1745	2.67
1746	1746	2.78
1747	1747	2.39
1748	1748	2.41
1749	1749	2.46
1750	1750	1.04
1751	1751	1.81
1752	1752	2.76
1753	1753	2.86
1754	1754	2.57
1755	1755	2.18
1756	1756	1.94
1757	1757	2.39
1758	1758	1.76
1759	1759	2.81
1760	1760	3.51
1761	1761	1.27
1762	1762	1.7
1763	1763	2.34
1764	1764	2.51
1765	1765	2.42
1766	1766	2.4
1767	1767	2.63
1768	1768	2.89
1769	1769	2.55
1770	1770	1.81
1771	1771	0.96
1772	1772	1.44
1773	1773	1.79
1774	1774	2.64
1775	1775	3.51
1776	1776	2.09
1777	1777	1.2
1778	1778	2.83
1779	1779	2.28
1780	1780	3.16
1781	1781	2.72
1783	1783	2.23
1784	1784	1.96
1787	1787	1.89
1788	1788	2.39
1789	1789	2.11
1790	1790	2.56
1791	1791	5.17
1792	1792	2.34
1793	1793	1.29
1794	1794	1.44
1795	1795	1.46
1796	1796	1.79
1797	1797	2.16
1798	1798	2.07
1800	1800	2.37
1802	1802	2.99
1804	1804	1.61
1805	1805	2.23
1806	1806	3.42
1808	1808	2.61
1809	1809	1.95
1810	1810	2.41
1811	1811	2.51
1812	1812	2.0
1813	1813	2.06
EZ5	EZ5	3.22
GS179	GS179	NA
GS190	GS190	NA
GS193	GS193	NA
GS202	GS202	NA
GS208	GS208	NA
GS209	GS209	NA
GS210	GS210	NA
GS211	GS211	NA
GS212	GS212	NA
GS217	GS217	NA
GS218	GS218	NA
GS228	GS228	NA
GS230	GS230	NA
GS232	GS232	NA
GS233	GS233	NA
GS234	GS234	NA
GS235	GS235	NA
L10	L10	3.1
L11	L11	2.65
L1	L1	NA
L13	L13	3.29
L14	L14	NA
L15	L15	NA
L16	L16	NA
L17	L17	4.2
L18	L18	3.87
L19	L19	NA
L20	L20	3.35
L21	L21	NA
L2	L2	NA
L22	L22	2.54
L23	L23	3.86
L24	L24	NA
L25	L25	2.56
L26	L26	NA
L27	L27	2.6
L28	L28	4.02
L29	L29	5.21
L3	L3	NA
L4	L4	NA
L5	L5	3.37
L6	L6	3.43
L7	L7	3.39
L8	L8	2.75
L9	L9	NA
wyj30	wyj30	2.8
Y10	Y10	1.27
Y104	Y104	NA
Y105	Y105	2.08
Y106	Y106	2.6
Y107	Y107	3.89
Y108	Y108	1.38
Y109	Y109	1.74
Y110	Y110	0.73
Y11	Y11	1.13
Y114	Y114	3.11
Y1	Y1	1.18
Y121	Y121	0.93
Y12	Y12	2.14
Y123	Y123	1.78
Y125	Y125	2.64
Y131	Y131	2.32
Y13	Y13	2.15
Y14	Y14	1.4
Y15	Y15	2.42
Y17	Y17	2.28
Y18	Y18	1.03
Y19	Y19	1.57
Y20	Y20	2.82
Y210	Y210	3.14
Y21	Y21	0.83
Y219	Y219	2.34
Y2	Y2	0.88
Y220	Y220	3.31
Y22	Y22	0.95
Y229	Y229	1.57
Y23	Y23	3.32
Y24	Y24	0.99
Y243	Y243	1.07
Y244	Y244	1.0
Y245	Y245	1.02
Y246	Y246	2.08
Y247	Y247	1.54
Y248	Y248	2.2
Y249	Y249	1.65
Y250	Y250	0.95
Y251	Y251	2.68
Y25	Y25	1.58
Y252	Y252	1.33
Y253	Y253	3.01
Y254	Y254	2.74
Y255	Y255	2.43
Y256	Y256	1.89
Y257	Y257	2.59
Y3	Y3	1.68
Y4	Y4	1.81
Y42	Y42	2.15
Y5	Y5	1.45
Y6	Y6	0.91
Y7	Y7	1.29
Y8	Y8	1.06
Y86	Y86	1.68
Y87	Y87	1.43
Y88	Y88	2.09
Y90	Y90	1.23
Y91	Y91	1.31
Y9	Y9	2.25
Y92	Y92	1.19
Y94	Y94	1.14
Y95	Y95	2.84
Y96	Y96	2.81
Y97	Y97	1.58
Y99	Y99	1.4
yangzhou_199_100	yangzhou_199_100	3.27
yangzhou_199_101	yangzhou_199_101	2.89
yangzhou_199_10	yangzhou_199_10	3.69
yangzhou_199_102	yangzhou_199_102	3.42
yangzhou_199_103	yangzhou_199_103	3.01
yangzhou_199_104	yangzhou_199_104	2.67
yangzhou_199_105	yangzhou_199_105	2.87
yangzhou_199_106	yangzhou_199_106	2.93
yangzhou_199_107	yangzhou_199_107	2.26
yangzhou_199_108	yangzhou_199_108	3.08
yangzhou_199_109	yangzhou_199_109	3.16
yangzhou_199_110	yangzhou_199_110	2.73
yangzhou_199_111	yangzhou_199_111	3.24
yangzhou_199_11	yangzhou_199_11	4.05
yangzhou_199_112	yangzhou_199_112	2.86
yangzhou_199_113	yangzhou_199_113	2.48
yangzhou_199_114	yangzhou_199_114	1.65
yangzhou_199_115	yangzhou_199_115	2.18
yangzhou_199_116	yangzhou_199_116	1.6
yangzhou_199_117	yangzhou_199_117	2.4
yangzhou_199_118	yangzhou_199_118	1.85
yangzhou_199_119	yangzhou_199_119	2.16
yangzhou_199_1	yangzhou_199_1	2.66
yangzhou_199_120	yangzhou_199_120	2.02
yangzhou_199_121	yangzhou_199_121	1.91
yangzhou_199_12	yangzhou_199_12	3.29
yangzhou_199_122	yangzhou_199_122	2.89
