FID	IID	SLNP_WenJ15
1701	1701	167.9
1702	1702	101.4
1703	1703	113.7
1704	1704	115.3
1705	1705	103.5
1706	1706	133.8
1707	1707	131.7
1708	1708	114.7
1709	1709	131.5
1710	1710	141.9
1711	1711	129.4
1712	1712	173.1
1713	1713	200.7
1714	1714	130.8
1715	1715	145.2
1716	1716	115.1
1717	1717	131.8
1718	1718	150.1
1719	1719	114.0
1720	1720	148.4
1721	1721	120.1
1722	1722	97.8
1723	1723	143.0
1724	1724	110.6
1725	1725	136.1
1726	1726	87.9
1727	1727	96.4
1728	1728	132.4
1729	1729	125.3
1730	1730	130.0
1731	1731	128.5
1732	1732	95.1
1733	1733	102.8
1734	1734	138.2
1735	1735	110.7
1736	1736	110.9
1737	1737	103.0
1738	1738	128.8
1739	1739	143.1
1740	1740	120.1
1741	1741	112.5
1742	1742	160.0
1743	1743	144.3
1744	1744	114.8
1745	1745	120.2
1746	1746	150.4
1747	1747	137.4
1748	1748	131.5
1749	1749	116.0
1750	1750	67.4
1751	1751	95.4
1752	1752	106.8
1753	1753	113.2
1754	1754	99.5
1755	1755	114.2
1756	1756	93.5
1757	1757	106.9
1758	1758	127.6
1759	1759	118.1
1760	1760	134.2
1761	1761	78.6
1762	1762	115.1
1763	1763	96.2
1764	1764	113.6
1765	1765	120.2
1766	1766	122.8
1767	1767	141.4
1768	1768	130.4
1769	1769	113.4
1770	1770	117.3
1771	1771	118.4
1772	1772	103.2
1773	1773	105.3
1774	1774	176.2
1775	1775	188.4
1776	1776	109.1
1777	1777	92.6
1778	1778	121.3
1779	1779	90.8
1780	1780	140.3
1781	1781	141.1
1783	1783	118.6
1784	1784	123.5
1787	1787	142.5
1788	1788	119.8
1789	1789	109.6
1790	1790	124.6
1791	1791	287.4
1792	1792	198.6
1793	1793	90.7
1794	1794	101.4
1795	1795	104.0
1796	1796	107.3
1797	1797	101.7
1798	1798	135.8
1800	1800	119.7
1802	1802	143.2
1804	1804	96.3
1805	1805	183.2
1806	1806	167.7
1808	1808	175.3
1809	1809	113.9
1810	1810	121.2
1811	1811	99.1
1812	1812	119.1
1813	1813	103.6
EZ5	EZ5	139.2
GS179	GS179	NA
GS190	GS190	NA
GS193	GS193	NA
GS202	GS202	NA
GS208	GS208	NA
GS209	GS209	NA
GS210	GS210	NA
GS211	GS211	NA
GS212	GS212	NA
GS217	GS217	NA
GS218	GS218	NA
GS228	GS228	NA
GS230	GS230	NA
GS232	GS232	NA
GS233	GS233	NA
GS234	GS234	NA
GS235	GS235	NA
L10	L10	173.4
L11	L11	190.8
L1	L1	NA
L13	L13	126.6
L14	L14	NA
L15	L15	NA
L16	L16	NA
L17	L17	169.6
L18	L18	176.9
L19	L19	NA
L20	L20	136.7
L21	L21	NA
L2	L2	NA
L22	L22	120.2
L23	L23	214.7
L24	L24	NA
L25	L25	137.2
L26	L26	NA
L27	L27	121.9
L28	L28	149.2
L29	L29	283.2
L3	L3	NA
L4	L4	NA
L5	L5	148.6
L6	L6	137.6
L7	L7	169.4
L8	L8	142.6
L9	L9	NA
wyj30	wyj30	173.5
Y10	Y10	78.5
Y104	Y104	NA
Y105	Y105	88.8
Y106	Y106	137.1
Y107	Y107	201.9
Y108	Y108	81.9
Y109	Y109	115.6
Y110	Y110	47.3
Y11	Y11	68.1
Y114	Y114	147.3
Y1	Y1	55.4
Y121	Y121	77.3
Y12	Y12	112.2
Y123	Y123	103.7
Y125	Y125	118.8
Y131	Y131	93.0
Y13	Y13	121.1
Y14	Y14	74.3
Y15	Y15	133.0
Y17	Y17	109.0
Y18	Y18	57.1
Y19	Y19	84.5
Y20	Y20	140.5
Y210	Y210	186.9
Y21	Y21	54.3
Y219	Y219	103.1
Y2	Y2	56.3
Y220	Y220	205.4
Y22	Y22	46.1
Y229	Y229	100.0
Y23	Y23	137.9
Y24	Y24	60.3
Y243	Y243	63.8
Y244	Y244	68.3
Y245	Y245	66.5
Y246	Y246	111.6
Y247	Y247	105.8
Y248	Y248	114.9
Y249	Y249	95.8
Y250	Y250	71.7
Y251	Y251	145.9
Y25	Y25	110.0
Y252	Y252	56.0
Y253	Y253	161.5
Y254	Y254	133.1
Y255	Y255	128.8
Y256	Y256	132.3
Y257	Y257	138.8
Y3	Y3	113.2
Y4	Y4	93.5
Y42	Y42	130.1
Y5	Y5	105.2
Y6	Y6	57.2
Y7	Y7	68.4
Y8	Y8	55.3
Y86	Y86	104.2
Y87	Y87	94.6
Y88	Y88	143.1
Y90	Y90	102.8
Y91	Y91	87.9
Y9	Y9	103.0
Y92	Y92	81.2
Y94	Y94	89.8
Y95	Y95	118.6
Y96	Y96	125.0
Y97	Y97	95.5
Y99	Y99	64.2
yangzhou_199_100	yangzhou_199_100	173.7
yangzhou_199_101	yangzhou_199_101	126.0
yangzhou_199_10	yangzhou_199_10	175.9
yangzhou_199_102	yangzhou_199_102	162.9
yangzhou_199_103	yangzhou_199_103	135.3
yangzhou_199_104	yangzhou_199_104	109.1
yangzhou_199_105	yangzhou_199_105	127.4
yangzhou_199_106	yangzhou_199_106	133.6
yangzhou_199_107	yangzhou_199_107	109.5
yangzhou_199_108	yangzhou_199_108	126.8
yangzhou_199_109	yangzhou_199_109	148.0
