FID	IID	SPAD_BeiJ16
1701	1701	NA
1702	1702	NA
1703	1703	NA
1704	1704	NA
1705	1705	NA
1706	1706	NA
1707	1707	34.0
1708	1708	34.7
1709	1709	NA
1710	1710	NA
1711	1711	NA
1712	1712	NA
1713	1713	NA
1714	1714	NA
1715	1715	NA
1716	1716	38.8
1717	1717	42.1
1718	1718	NA
1719	1719	NA
1720	1720	NA
1721	1721	39.6
1722	1722	35.9
1723	1723	36.1
1724	1724	NA
1725	1725	36.2
1726	1726	NA
1727	1727	NA
1728	1728	NA
1729	1729	35.8
1730	1730	NA
1731	1731	NA
1732	1732	NA
1733	1733	NA
1734	1734	NA
1735	1735	NA
1736	1736	NA
1737	1737	35.4
1738	1738	34.1
1739	1739	NA
1740	1740	NA
1741	1741	NA
1742	1742	NA
1743	1743	NA
1744	1744	NA
1745	1745	NA
1746	1746	NA
1747	1747	42.7
1748	1748	33.8
1749	1749	34.7
1750	1750	38.0
1751	1751	NA
1752	1752	37.8
1753	1753	NA
1754	1754	32.6
1755	1755	36.7
1756	1756	40.9
1757	1757	NA
1758	1758	NA
1759	1759	NA
1760	1760	NA
1761	1761	NA
1762	1762	NA
1763	1763	NA
1764	1764	NA
1765	1765	39.8
1766	1766	32.4
1767	1767	NA
1768	1768	NA
1769	1769	NA
1770	1770	NA
1771	1771	NA
1772	1772	NA
1773	1773	NA
1774	1774	NA
1775	1775	32.6
1776	1776	NA
1777	1777	NA
1778	1778	NA
1779	1779	NA
1780	1780	NA
1781	1781	NA
1783	1783	NA
1784	1784	NA
1787	1787	NA
1788	1788	NA
1789	1789	NA
1790	1790	NA
1791	1791	37.7
1792	1792	NA
1793	1793	NA
1794	1794	NA
1795	1795	NA
1796	1796	NA
1797	1797	NA
1798	1798	NA
1800	1800	NA
1802	1802	35.8
1804	1804	NA
1805	1805	NA
1806	1806	NA
1808	1808	NA
1809	1809	NA
1810	1810	NA
1811	1811	NA
1812	1812	NA
1813	1813	NA
EZ5	EZ5	38.7
GS179	GS179	NA
GS190	GS190	47.2
GS193	GS193	45.4
GS202	GS202	49.6
GS208	GS208	38.6
GS209	GS209	46.8
GS210	GS210	46.7
GS211	GS211	46.7
GS212	GS212	47.5
GS217	GS217	34.3
GS218	GS218	40.3
GS228	GS228	36.3
GS230	GS230	36.0
GS232	GS232	37.9
GS233	GS233	38.9
GS234	GS234	33.8
GS235	GS235	33.4
L10	L10	35.5
L11	L11	36.6
L1	L1	38.6
L13	L13	41.8
L14	L14	38.2
L15	L15	40.0
L16	L16	40.9
L17	L17	40.9
L18	L18	36.3
L19	L19	43.5
L20	L20	44.1
L21	L21	40.5
L2	L2	37.0
L22	L22	40.1
L23	L23	46.5
L24	L24	42.1
L25	L25	NA
L26	L26	42.4
L27	L27	40.5
L28	L28	38.1
L29	L29	41.5
L3	L3	32.8
L4	L4	34.5
L5	L5	39.7
L6	L6	42.7
L7	L7	38.9
L8	L8	36.6
L9	L9	35.1
wyj30	wyj30	NA
Y10	Y10	NA
Y104	Y104	NA
Y105	Y105	NA
Y106	Y106	48.5
Y107	Y107	NA
Y108	Y108	NA
Y109	Y109	41.8
Y110	Y110	NA
Y11	Y11	NA
Y114	Y114	NA
Y1	Y1	NA
Y121	Y121	NA
Y12	Y12	NA
Y123	Y123	NA
Y125	Y125	NA
Y131	Y131	NA
Y13	Y13	NA
Y14	Y14	NA
Y15	Y15	NA
Y17	Y17	NA
Y18	Y18	NA
Y19	Y19	NA
Y20	Y20	NA
Y210	Y210	37.1
Y21	Y21	NA
Y219	Y219	NA
Y2	Y2	NA
Y220	Y220	46.0
Y22	Y22	NA
Y229	Y229	NA
Y23	Y23	NA
Y24	Y24	40.8
Y243	Y243	NA
Y244	Y244	NA
Y245	Y245	NA
Y246	Y246	NA
Y247	Y247	NA
Y248	Y248	NA
Y249	Y249	NA
Y250	Y250	NA
Y251	Y251	39.3
Y25	Y25	NA
Y252	Y252	NA
Y253	Y253	NA
Y254	Y254	NA
Y255	Y255	43.2
Y256	Y256	NA
Y257	Y257	NA
Y3	Y3	NA
Y4	Y4	NA
Y42	Y42	NA
Y5	Y5	NA
Y6	Y6	NA
Y7	Y7	NA
Y8	Y8	NA
Y86	Y86	NA
Y87	Y87	NA
Y88	Y88	NA
Y90	Y90	NA
Y91	Y91	NA
Y9	Y9	NA
Y92	Y92	NA
Y94	Y94	NA
Y95	Y95	50.2
Y96	Y96	NA
Y97	Y97	NA
Y99	Y99	NA
yangzhou_199_100	yangzhou_199_100	39.8
yangzhou_199_101	yangzhou_199_101	34.0
yangzhou_199_10	yangzhou_199_10	35.3
yangzhou_199_102	yangzhou_199_102	36.8
yangzhou_199_103	yangzhou_199_103	31.9
yangzhou_199_104	yangzhou_199_104	37.6
yangzhou_199_105	yangzhou_199_105	NA
yangzhou_199_106	yangzhou_199_106	34.4
yangzhou_199_107	yangzhou_199_107	NA
yangzhou_199_108	yangzhou_199_108	NA
yangzhou_199_109	yangzhou_199_109	NA
yangzhou_199_110	yangzhou_199_110	33.1
yangzhou_199_111	yangzhou_199_111	NA
yangzhou_199_11	yangzhou_199_11	NA
yangzhou_199_112	yangzhou_199_112	36.4
yangzhou_199_113	yangzhou_199_113	NA
yangzhou_199_114	yangzhou_199_114	NA
yangzhou_199_115	yangzhou_199_115	NA
yangzhou_199_116	yangzhou_199_116	NA
yangzhou_199_117	yangzhou_199_117	NA
yangzhou_199_118	yangzhou_199_118	NA
yangzhou_199_119	yangzhou_199_119	NA
yangzhou_199_1	yangzhou_199_1	NA
yangzhou_199_120	yangzhou_199_120	NA
yangzhou_199_121	yangzhou_199_121	NA
yangzhou_199_12	yangzhou_199_12	NA
yangzhou_199_122	yangzhou_199_122	NA
yangzhou_199_123	yangzhou_199_123	40.3
yangzhou_199_124	yangzhou_199_124	NA
yangzhou_199_125	yangzhou_199_125	NA
yangzhou_199_126	yangzhou_199_126	NA
yangzhou_199_127	yangzhou_199_127	NA
yangzhou_199_128	yangzhou_199_128	NA
yangzhou_199_129	yangzhou_199_129	NA
yangzhou_199_130	yangzhou_199_130	NA
yangzhou_199_131	yangzhou_199_131	NA
yangzhou_199_13	yangzhou_199_13	34.4
yangzhou_199_132	yangzhou_199_132	NA
yangzhou_199_133	yangzhou_199_133	37.2
yangzhou_199_134	yangzhou_199_134	37.7
yangzhou_199_135	yangzhou_199_135	NA
yangzhou_199_136	yangzhou_199_136	NA
yangzhou_199_137	yangzhou_199_137	NA
yangzhou_199_138	yangzhou_199_138	NA
yangzhou_199_139	yangzhou_199_139	NA
yangzhou_199_140	yangzhou_199_140	40.9
yangzhou_199_141	yangzhou_199_141	36.6
yangzhou_199_14	yangzhou_199_14	NA
yangzhou_199_142	yangzhou_199_142	NA
yangzhou_199_143	yangzhou_199_143	NA
yangzhou_199_144	yangzhou_199_144	NA
yangzhou_199_145	yangzhou_199_145	41.5
yangzhou_199_146	yangzhou_199_146	NA
yangzhou_199_147	yangzhou_199_147	41.9
yangzhou_199_148	yangzhou_199_148	NA
yangzhou_199_149	yangzhou_199_149	47.0
yangzhou_199_150	yangzhou_199_150	40.6
yangzhou_199_151	yangzhou_199_151	43.7
yangzhou_199_15	yangzhou_199_15	NA
yangzhou_199_152	yangzhou_199_152	36.1
yangzhou_199_153	yangzhou_199_153	NA
yangzhou_199_154	yangzhou_199_154	37.4
yangzhou_199_155	yangzhou_199_155	43.1
yangzhou_199_156	yangzhou_199_156	NA
yangzhou_199_157	yangzhou_199_157	39.9
yangzhou_199_158	yangzhou_199_158	39.3
yangzhou_199_159	yangzhou_199_159	39.4
yangzhou_199_160	yangzhou_199_160	32.8
yangzhou_199_161	yangzhou_199_161	NA
yangzhou_199_16	yangzhou_199_16	NA
yangzhou_199_162	yangzhou_199_162	39.3
yangzhou_199_163	yangzhou_199_163	NA
yangzhou_199_164	yangzhou_199_164	NA
yangzhou_199_165	yangzhou_199_165	NA
yangzhou_199_166	yangzhou_199_166	NA
yangzhou_199_167	yangzhou_199_167	NA
yangzhou_199_168	yangzhou_199_168	41.2
yangzhou_199_169	yangzhou_199_169	NA
yangzhou_199_170	yangzhou_199_170	40.7
yangzhou_199_171	yangzhou_199_171	NA
yangzhou_199_17	yangzhou_199_17	NA
yangzhou_199_172	yangzhou_199_172	NA
yangzhou_199_173	yangzhou_199_173	31.5
yangzhou_199_174	yangzhou_199_174	NA
yangzhou_199_175	yangzhou_199_175	40.9
yangzhou_199_176	yangzhou_199_176	NA
yangzhou_199_177	yangzhou_199_177	NA
yangzhou_199_178	yangzhou_199_178	38.4
yangzhou_199_179	yangzhou_199_179	40.9
yangzhou_199_180	yangzhou_199_180	NA
yangzhou_199_181	yangzhou_199_181	41.3
yangzhou_199_18	yangzhou_199_18	NA
yangzhou_199_182	yangzhou_199_182	NA
yangzhou_199_183	yangzhou_199_183	41.1
yangzhou_199_184	yangzhou_199_184	NA
yangzhou_199_185	yangzhou_199_185	NA
yangzhou_199_186	yangzhou_199_186	40.2
yangzhou_199_187	yangzhou_199_187	NA
yangzhou_199_188	yangzhou_199_188	NA
yangzhou_199_189	yangzhou_199_189	41.3
yangzhou_199_190	yangzhou_199_190	35.1
yangzhou_199_191	yangzhou_199_191	NA
yangzhou_199_19	yangzhou_199_19	NA
yangzhou_199_192	yangzhou_199_192	NA
yangzhou_199_193	yangzhou_199_193	NA
yangzhou_199_194	yangzhou_199_194	43.1
yangzhou_199_195	yangzhou_199_195	38.7
yangzhou_199_196	yangzhou_199_196	43.2
yangzhou_199_197	yangzhou_199_197	35.9
yangzhou_199_198	yangzhou_199_198	36.9
yangzhou_199_199	yangzhou_199_199	38.7
yangzhou_199_20	yangzhou_199_20	NA
yangzhou_199_21	yangzhou_199_21	NA
