FID	IID	TGW_BLUP
1701	1701	24.6219659250543
1702	1702	23.953483732173
1703	1703	25.8362353200377
1704	1704	26.1817577084438
1705	1705	25.023055240783
1706	1706	21.2795549606481
1707	1707	23.5969598959697
1708	1708	23.6305381295104
1709	1709	24.1265647148915
1710	1710	22.7279330452241
1711	1711	26.1149094891557
1712	1712	24.9562070214949
1713	1713	24.9116415419695
1714	1714	25.2692079389713
1715	1715	28.0089423689859
1716	1716	26.248605927732
1717	1717	24.0426146912239
1718	1718	25.2019936316725
1719	1719	27.0839942360392
1720	1720	22.7822785689153
1721	1721	24.9562070214949
1722	1722	28.2763352461384
1723	1723	24.3545730479018
1724	1724	26.471433325359
1725	1725	24.9784897612576
1726	1726	25.2458826384101
1727	1727	24.8447933226814
1728	1728	22.51342133972
1729	1729	25.9589303108168
1730	1730	23.1183501054093
1731	1731	23.6560645637998
1732	1732	25.2692079389713
1733	1733	24.109462910512
1734	1734	27.4872800798321
1735	1735	25.9413510119594
1736	1736	24.3282076367879
1737	1737	23.1735878404782
1738	1738	22.7724985247495
1739	1739	26.9495656214416
1740	1740	24.5970648659832
1741	1741	27.9198114099351
1742	1742	25.2692079389713
1743	1743	27.0839942360392
1744	1744	26.1594749686811
1745	1745	26.6134940849475
1746	1746	26.8056744217997
1747	1747	24.6665314045797
1748	1748	21.7029270161395
1749	1749	24.5328349660034
1750	1750	27.3627429158674
1751	1751	21.970319893292
1752	1752	26.4491505855963
1753	1753	25.2681653781728
1754	1754	25.0007725010203
1755	1755	22.8393467440376
1756	1756	25.1121861998339
1757	1757	25.6052794754654
1758	1758	22.2822782499699
1759	1759	26.4790654703499
1760	1760	25.2904481179355
1761	1761	22.6414231496663
1762	1762	21.454816281248
1763	1763	25.739708090063
1764	1764	26.4491505855963
1765	1765	25.7583856529524
1766	1766	22.1931472909191
1767	1767	24.1752974972477
1768	1768	25.6052794754654
1769	1769	23.1290223609528
1770	1770	23.0621741416647
1771	1771	24.476402072571
1772	1772	23.0224799740259
1773	1773	23.7460170630004
1774	1774	22.9284777030885
1775	1775	26.2931714072574
1776	1776	22.1040163318683
1777	1777	21.5469478378006
1778	1778	26.8725226410878
1779	1779	25.8475166120032
1780	1780	23.3872073346046
1781	1781	24.3282076367879
1783	1783	23.9871960926585
1784	1784	23.8666065778294
1787	1787	24.5298505586844
1788	1788	25.0676207203084
1789	1789	21.8366234547158
1790	1790	24.791126191519
1791	1791	22.7947812645122
1792	1792	24.5774004455289
1793	1793	22.8214974493108
1794	1794	26.0774143496958
1795	1795	23.9316427048337
1796	1796	23.1958705802409
1797	1797	24.2654420888509
1798	1798	22.6388020861732
1800	1800	24.3768557876645
1802	1802	22.9284777030885
1804	1804	22.9730431826139
1805	1805	24.0648974309866
1806	1806	24.7487284106555
1808	1808	22.0594508523428
1809	1809	23.1717933987842
1810	1810	25.4708508608677
1811	1811	26.1594749686811
1812	1812	24.7987077878796
1813	1813	24.5298505586844
EZ5	EZ5	22.7279330452241
GS179	GS179	NA
GS190	GS190	NA
GS193	GS193	NA
GS202	GS202	NA
GS208	GS208	NA
GS209	GS209	NA
GS210	GS210	NA
GS211	GS211	NA
GS212	GS212	NA
GS217	GS217	NA
GS218	GS218	NA
GS228	GS228	NA
GS230	GS230	NA
GS232	GS232	NA
GS233	GS233	NA
GS234	GS234	NA
GS235	GS235	NA
L10	L10	27.0568411829058
L11	L11	26.8561403632131
L1	L1	30.9803664612285
L13	L13	33.9211962125858
L14	L14	31.0475807685273
L15	L15	29.4344373933558
L16	L16	31.1147950758261
L17	L17	27.7162867333246
L18	L18	27.2575420025985
L19	L19	25.1999360335307
L20	L20	25.3078768970122
L21	L21	24.9982931116343
L2	L2	27.5524367889891
L22	L22	25.365219988353
L23	L23	25.5659208080457
L24	L24	23.5195783510604
L25	L25	22.7009079344817
L26	L26	23.3851497364628
L27	L27	23.7596134308113
L28	L28	27.8596444616766
L29	L29	23.1575109717332
L3	L3	26.8130794087022
L4	L4	28.6950800130689
L5	L5	31.8449893098603
L6	L6	29.4652510192182
L7	L7	30.3253973893298
L8	L8	29.4652510192182
L9	L9	26.8801139329533
wyj30	wyj30	23.6415253754951
Y10	Y10	24.1610150701967
Y104	Y104	24.70950266603
Y105	Y105	27.888316007347
Y106	Y106	25.365219988353
Y107	Y107	23.0428247890517
Y108	Y108	22.4407223299736
Y109	Y109	21.4085466858397
Y110	Y110	23.4646415283992
Y11	Y11	25.0785045316491
Y114	Y114	24.1323435245264
Y1	Y1	23.6449272481298
Y121	Y121	23.0141532433813
Y12	Y12	22.4407223299736
Y123	Y123	23.0714963347221
Y125	Y125	24.1896866158671
Y131	Y131	27.2001989112577
Y13	Y13	21.9246345079066
Y14	Y14	22.5840800583255
Y15	Y15	23.3008687000852
Y17	Y17	23.9316427048337
Y18	Y18	23.214854063074
Y19	Y19	23.4728979741075
Y20	Y20	24.0750004331856
Y210	Y210	23.1288394260628
Y21	Y21	21.5519044141916
Y219	Y219	23.9316427048337
Y2	Y2	22.8134524236886
Y220	Y220	21.2938605031581
Y22	Y22	23.2435256087444
Y229	Y229	22.4120507843032
Y23	Y23	24.5337451639118
Y24	Y24	21.8959629622362
Y243	Y243	24.5337451639118
Y244	Y244	23.6735987938002
Y245	Y245	23.2435256087444
Y246	Y246	22.698766241007
Y247	Y247	24.0463288875152
Y248	Y248	24.8367860954622
Y249	Y249	23.8318734718866
Y250	Y250	21.6612622049633
Y251	Y251	24.1323435245264
Y25	Y25	24.476402072571
Y252	Y252	30.377495293681
Y253	Y253	21.6952621425435
Y254	Y254	24.5050736182414
Y255	Y255	23.6560645637998
Y256	Y256	20.2616848590242
Y257	Y257	23.3008687000852
Y3	Y3	23.6162557024594
Y4	Y4	25.0785045316491
Y42	Y42	21.3512035944989
Y5	Y5	21.6665905968731
Y6	Y6	22.9281386063701
Y7	Y7	24.5910882552525
Y8	Y8	25.8526362647495
Y86	Y86	21.1505027748062
Y87	Y87	22.0106491449178
Y88	Y88	23.3868833370963
Y90	Y90	17.795931931371
Y91	Y91	21.0358165921246
Y9	Y9	25.0498329859787
Y92	Y92	22.326036147292
Y94	Y94	21.4945613228508
Y95	Y95	26.4260671781573
Y96	Y96	25.9673224474311
Y97	Y97	24.4190589812302
Y99	Y99	25.1358476229899
yangzhou_199_100	yangzhou_199_100	25.3127308576982
yangzhou_199_101	yangzhou_199_101	27.2736119568165
yangzhou_199_10	yangzhou_199_10	24.0648974309866
yangzhou_199_102	yangzhou_199_102	25.2235998986474
yangzhou_199_103	yangzhou_199_103	25.3795790769863
yangzhou_199_104	yangzhou_199_104	27.8752459304097
yangzhou_199_105	yangzhou_199_105	26.5382815446472
yangzhou_199_106	yangzhou_199_106	26.5159988048845
yangzhou_199_107	yangzhou_199_107	25.2681653781728
yangzhou_199_108	yangzhou_199_108	27.1399155182403
yangzhou_199_109	yangzhou_199_109	26.8948053808505
yangzhou_199_110	yangzhou_199_110	23.9980492116984
yangzhou_199_111	yangzhou_199_111	23.5078289369189
yangzhou_199_11	yangzhou_199_11	26.5828470241726
yangzhou_199_112	yangzhou_199_112	22.8616294838003
yangzhou_199_113	yangzhou_199_113	25.5801237348507
yangzhou_199_114	yangzhou_199_114	23.4855461971562
yangzhou_199_115	yangzhou_199_115	22.1931472909191
yangzhou_199_116	yangzhou_199_116	20.8116722021596
yangzhou_199_117	yangzhou_199_117	21.7920579751903
yangzhou_199_118	yangzhou_199_118	22.7502157849868
yangzhou_199_119	yangzhou_199_119	23.6860908550205
yangzhou_199_1	yangzhou_199_1	24.2431593490882
yangzhou_199_120	yangzhou_199_120	23.2850015392918
yangzhou_199_121	yangzhou_199_121	21.41893215483
yangzhou_199_12	yangzhou_199_12	25.936647571054
yangzhou_199_122	yangzhou_199_122	26.0350510077622
yangzhou_199_123	yangzhou_199_123	25.4909927757999
yangzhou_199_124	yangzhou_199_124	22.883912223563
yangzhou_199_125	yangzhou_199_125	24.5105522262407
yangzhou_199_126	yangzhou_199_126	25.3572963372236
yangzhou_199_127	yangzhou_199_127	20.7491011354208
yangzhou_199_128	yangzhou_199_128	23.5969598959697
yangzhou_199_129	yangzhou_199_129	24.5551177057662
yangzhou_199_130	yangzhou_199_130	25.7583856529524
yangzhou_199_131	yangzhou_199_131	19.6126247775956
yangzhou_199_13	yangzhou_199_13	25.5132755155626
yangzhou_199_132	yangzhou_199_132	21.5909614288523
yangzhou_199_133	yangzhou_199_133	22.9284777030885
yangzhou_199_134	yangzhou_199_134	25.0007725010203
yangzhou_199_135	yangzhou_199_135	20.2545489315635
yangzhou_199_136	yangzhou_199_136	21.9926026330547
yangzhou_199_137	yangzhou_199_137	21.5909614288523
yangzhou_199_138	yangzhou_199_138	21.9257544137666
yangzhou_199_139	yangzhou_199_139	20.6161288760592
yangzhou_199_140	yangzhou_199_140	25.7361029131897
yangzhou_199_141	yangzhou_199_141	24.5996831852916
yangzhou_199_14	yangzhou_199_14	24.7779451033932
yangzhou_199_142	yangzhou_199_142	22.7502157849868
yangzhou_199_143	yangzhou_199_143	16.1545248152252
yangzhou_199_144	yangzhou_199_144	25.7361029131897
yangzhou_199_145	yangzhou_199_145	25.0453379805457
yangzhou_199_146	yangzhou_199_146	25.179034419122
yangzhou_199_147	yangzhou_199_147	34.4486541604086
yangzhou_199_148	yangzhou_199_148	31.7980316875098
yangzhou_199_149	yangzhou_199_149	30.2372163452567
yangzhou_199_150	yangzhou_199_150	29.8806925090534
yangzhou_199_151	yangzhou_199_151	29.3681894945111
yangzhou_199_15	yangzhou_199_15	25.6915374336643
yangzhou_199_152	yangzhou_199_152	26.1149094891557
yangzhou_199_153	yangzhou_199_153	30.2372163452567
yangzhou_199_154	yangzhou_199_154	34.8051779966119
yangzhou_199_155	yangzhou_199_155	29.3459067547484
yangzhou_199_156	yangzhou_199_156	25.7583856529524
yangzhou_199_157	yangzhou_199_157	24.4659867467153
yangzhou_199_158	yangzhou_199_158	31.5296152514938
yangzhou_199_159	yangzhou_199_159	28.9225346992569
yangzhou_199_160	yangzhou_199_160	22.6165193464105
yangzhou_199_161	yangzhou_199_161	23.2181533200037
yangzhou_199_16	yangzhou_199_16	27.2958946965792
yangzhou_199_162	yangzhou_199_162	26.1149094891557
yangzhou_199_163	yangzhou_199_163	21.814340714953
yangzhou_199_164	yangzhou_199_164	24.4214212671899
yangzhou_199_165	yangzhou_199_165	25.023055240783
yangzhou_199_166	yangzhou_199_166	23.2850015392918
yangzhou_199_167	yangzhou_199_167	26.2931714072574
yangzhou_199_168	yangzhou_199_168	24.2431593490882
yangzhou_199_169	yangzhou_199_169	27.6747012725453
yangzhou_199_170	yangzhou_199_170	27.2290464772911
yangzhou_199_171	yangzhou_199_171	25.6246892143761
yangzhou_199_17	yangzhou_199_17	27.8975286701724
yangzhou_199_172	yangzhou_199_172	26.4268678458336
yangzhou_199_173	yangzhou_199_173	25.8697993517659
yangzhou_199_174	yangzhou_199_174	24.3991385274272
yangzhou_199_175	yangzhou_199_175	21.7029270161395
yangzhou_199_176	yangzhou_199_176	22.4382574283089
yangzhou_199_177	yangzhou_199_177	23.6638081152578
yangzhou_199_178	yangzhou_199_178	24.8447933226814
yangzhou_199_179	yangzhou_199_179	23.5969598959697
yangzhou_199_180	yangzhou_199_180	24.6665314045797
yangzhou_199_181	yangzhou_199_181	25.2681653781728
yangzhou_199_18	yangzhou_199_18	24.1540283900374
yangzhou_199_182	yangzhou_199_182	25.8920820915286
yangzhou_199_183	yangzhou_199_183	25.2904481179355
yangzhou_199_184	yangzhou_199_184	24.4437040069526
yangzhou_199_185	yangzhou_199_185	24.5996831852916
yangzhou_199_186	yangzhou_199_186	22.3936919487835
yangzhou_199_187	yangzhou_199_187	23.039891401902
yangzhou_199_188	yangzhou_199_188	24.0426146912239
yangzhou_199_189	yangzhou_199_189	25.8697993517659
yangzhou_199_190	yangzhou_199_190	24.9116415419695
yangzhou_199_191	yangzhou_199_191	23.3964152381053
yangzhou_199_19	yangzhou_199_19	27.162198258003
yangzhou_199_192	yangzhou_199_192	25.8029511324778
yangzhou_199_193	yangzhou_199_193	25.4909927757999
yangzhou_199_194	yangzhou_199_194	26.9616536001386
yangzhou_199_195	yangzhou_199_195	30.5491747019346
yangzhou_199_196	yangzhou_199_196	26.0480612698676
yangzhou_199_197	yangzhou_199_197	25.9589303108168
yangzhou_199_198	yangzhou_199_198	24.1985938695628
yangzhou_199_199	yangzhou_199_199	24.6665314045797
yangzhou_199_20	yangzhou_199_20	24.6888141443424
yangzhou_199_21	yangzhou_199_21	28.1872042870876
yangzhou_199_2	yangzhou_199_2	24.1985938695628
yangzhou_199_22	yangzhou_199_22	24.2877248286137
yangzhou_199_23	yangzhou_199_23	23.4537341896675
yangzhou_199_24	yangzhou_199_24	24.4214212671899
yangzhou_199_25	yangzhou_199_25	25.7806683927151
yangzhou_199_26	yangzhou_199_26	23.9757664719357
yangzhou_199_27	yangzhou_199_27	25.2235998986474
yangzhou_199_28	yangzhou_199_28	23.0621741416647
yangzhou_199_29	yangzhou_199_29	23.7529390743087
yangzhou_199_30	yangzhou_199_30	25.9366475710541
yangzhou_199_31	yangzhou_199_31	22.7502157849868
yangzhou_199_3	yangzhou_199_3	25.7583856529524
yangzhou_199_32	yangzhou_199_32	25.0007725010203
yangzhou_199_33	yangzhou_199_33	24.3322903081391
yangzhou_199_34	yangzhou_199_34	22.7279330452241
yangzhou_199_35	yangzhou_199_35	27.2736119568165
yangzhou_199_36	yangzhou_199_36	24.4214212671899
yangzhou_199_37	yangzhou_199_37	25.1121861998339
yangzhou_199_38	yangzhou_199_38	26.2540379041349
yangzhou_199_39	yangzhou_199_39	21.580575959862
yangzhou_199_40	yangzhou_199_40	22.9953259223766
yangzhou_199_41	yangzhou_199_41	24.6219659250543
yangzhou_199_4	yangzhou_199_4	24.8002278431559
yangzhou_199_42	yangzhou_199_42	25.1567516793593
yangzhou_199_43	yangzhou_199_43	27.0953500387149
yangzhou_199_44	yangzhou_199_44	27.318177436342
yangzhou_199_45	yangzhou_199_45	23.039891401902
yangzhou_199_46	yangzhou_199_46	26.8056744217997
yangzhou_199_47	yangzhou_199_47	27.7638322315961
yangzhou_199_48	yangzhou_199_48	22.9953259223766
yangzhou_199_49	yangzhou_199_49	24.5728021785725
yangzhou_199_50	yangzhou_199_50	24.0871801707493
yangzhou_199_51	yangzhou_199_51	25.4241445565118
yangzhou_199_5	yangzhou_199_5	23.9980492116984
yangzhou_199_52	yangzhou_199_52	24.7779451033932
yangzhou_199_53	yangzhou_199_53	24.5328349660034
yangzhou_199_54	yangzhou_199_54	23.8197872935968
yangzhou_199_55	yangzhou_199_55	25.5355582553253
yangzhou_199_56	yangzhou_199_56	23.1513051007155
yangzhou_199_57	yangzhou_199_57	24.8447933226814
yangzhou_199_58	yangzhou_199_58	27.3850256556301
yangzhou_199_59	yangzhou_199_59	25.7583856529524
yangzhou_199_60	yangzhou_199_60	28.9002519594942
yangzhou_199_61	yangzhou_199_61	24.1763111298001
yangzhou_199_6	yangzhou_199_6	24.8225105829186
yangzhou_199_62	yangzhou_199_62	26.5828470241726
yangzhou_199_63	yangzhou_199_63	24.3100075683764
yangzhou_199_64	yangzhou_199_64	25.4241445565118
yangzhou_199_65	yangzhou_199_65	24.8893588022068
yangzhou_199_66	yangzhou_199_66	26.2931714072574
yangzhou_199_67	yangzhou_199_67	24.3100075683764
yangzhou_199_68	yangzhou_199_68	25.713820173427
yangzhou_199_69	yangzhou_199_69	24.2877248286137
yangzhou_199_70	yangzhou_199_70	25.4241445565118
yangzhou_199_71	yangzhou_199_71	24.4214212671899
yangzhou_199_7	yangzhou_199_7	25.2681653781728
yangzhou_199_72	yangzhou_199_72	25.8920820915286
yangzhou_199_73	yangzhou_199_73	25.4241445565118
yangzhou_199_74	yangzhou_199_74	24.1763111298001
yangzhou_199_75	yangzhou_199_75	23.7126558084609
yangzhou_199_76	yangzhou_199_76	23.4855461971562
yangzhou_199_77	yangzhou_199_77	20.6779209870549
yangzhou_199_78	yangzhou_199_78	21.3686859196989
yangzhou_199_79	yangzhou_199_79	23.5078289369189
yangzhou_199_80	yangzhou_199_80	28.1426388075622
yangzhou_199_81	yangzhou_199_81	26.9393708603759
yangzhou_199_8	yangzhou_199_8	24.1714005391871
yangzhou_199_82	yangzhou_199_82	24.9339242817322
yangzhou_199_83	yangzhou_199_83	24.6301452699132
yangzhou_199_84	yangzhou_199_84	21.814340714953
yangzhou_199_85	yangzhou_199_85	26.0257785301049
yangzhou_199_86	yangzhou_199_86	23.5523944164443
yangzhou_199_87	yangzhou_199_87	27.4964393544436
yangzhou_199_88	yangzhou_199_88	24.6665314045797
yangzhou_199_89	yangzhou_199_89	23.418697977868
yangzhou_199_90	yangzhou_199_90	20.3882453701397
yangzhou_199_91	yangzhou_199_91	21.1904240015972
yangzhou_199_9	yangzhou_199_9	24.488269486478
yangzhou_199_92	yangzhou_199_92	24.9339242817322
yangzhou_199_93	yangzhou_199_93	27.2958946965792
yangzhou_199_94	yangzhou_199_94	24.7779451033932
yangzhou_199_95	yangzhou_199_95	23.4632634573934
yangzhou_199_96	yangzhou_199_96	22.9507604428512
yangzhou_199_97	yangzhou_199_97	25.3127308576982
yangzhou_199_98	yangzhou_199_98	22.9284777030885
yangzhou_199_99	yangzhou_199_99	25.936647571054
yangzhou_226_100	yangzhou_226_100	24.5328349660034
yangzhou_226_101	yangzhou_226_101	26.5828470241726
yangzhou_226_10	yangzhou_226_10	25.9589303108168
yangzhou_226_102	yangzhou_226_102	28.3431834654265
yangzhou_226_103	yangzhou_226_103	27.0953500387149
yangzhou_226_104	yangzhou_226_104	27.2958946965792
yangzhou_226_105	yangzhou_226_105	33.1339725144088
yangzhou_226_106	yangzhou_226_106	28.0089423689859
yangzhou_226_107	yangzhou_226_107	27.4964393544436
yangzhou_226_108	yangzhou_226_108	30.0812371669178
yangzhou_226_109	yangzhou_226_109	32.1758147046123
yangzhou_226_110	yangzhou_226_110	28.1872042870876
yangzhou_226_111	yangzhou_226_111	31.128525935765
yangzhou_226_11	yangzhou_226_11	21.3018377004108
yangzhou_226_112	yangzhou_226_112	29.3904722342738
yangzhou_226_113	yangzhou_226_113	27.852963190647
yangzhou_226_114	yangzhou_226_114	28.231769766613
yangzhou_226_115	yangzhou_226_115	31.5399877764763
yangzhou_226_116	yangzhou_226_116	27.162198258003
yangzhou_226_117	yangzhou_226_117	28.8779692197315
yangzhou_226_118	yangzhou_226_118	28.1203560677994
yangzhou_226_119	yangzhou_226_119	26.4268678458336
yangzhou_226_1	yangzhou_226_1	25.023055240783
yangzhou_226_120	yangzhou_226_120	28.5660108630536
yangzhou_226_121	yangzhou_226_121	29.3459067547484
yangzhou_226_12	yangzhou_226_12	23.3295670188172
yangzhou_226_122	yangzhou_226_122	28.8334037402061
yangzhou_226_123	yangzhou_226_123	21.6947647953031
yangzhou_226_124	yangzhou_226_124	29.6132996319009
yangzhou_226_125	yangzhou_226_125	25.7952931734088
yangzhou_226_126	yangzhou_226_126	31.0839604562396
yangzhou_226_127	yangzhou_226_127	28.1750314640508
yangzhou_226_128	yangzhou_226_128	28.6997073016299
yangzhou_226_129	yangzhou_226_129	30.3931955235957
yangzhou_226_130	yangzhou_226_130	32.3317938829513
yangzhou_226_131	yangzhou_226_131	29.7024305909517
yangzhou_226_13	yangzhou_226_13	23.1290223609528
yangzhou_226_132	yangzhou_226_132	29.2567757956976
yangzhou_226_133	yangzhou_226_133	28.988220211812
yangzhou_226_134	yangzhou_226_134	24.5105522262407
yangzhou_226_135	yangzhou_226_135	25.4687100360372
yangzhou_226_136	yangzhou_226_136	25.2904481179355
yangzhou_226_137	yangzhou_226_137	29.6132996319009
yangzhou_226_138	yangzhou_226_138	28.3877489449519
yangzhou_226_139	yangzhou_226_139	24.3330443442191
yangzhou_226_140	yangzhou_226_140	23.5969598959697
yangzhou_226_141	yangzhou_226_141	32.7997314179682
yangzhou_226_14	yangzhou_226_14	22.505105647597
yangzhou_226_142	yangzhou_226_142	32.5100558010529
yangzhou_226_143	yangzhou_226_143	25.9589303108168
yangzhou_226_144	yangzhou_226_144	28.6551418221044
yangzhou_226_145	yangzhou_226_145	29.9921062078669
yangzhou_226_146	yangzhou_226_146	28.4991626437655
yangzhou_226_147	yangzhou_226_147	29.8806925090534
yangzhou_226_148	yangzhou_226_148	28.3654662051892
yangzhou_226_149	yangzhou_226_149	23.7083735947832
yangzhou_226_150	yangzhou_226_150	25.1567516793593
yangzhou_226_151	yangzhou_226_151	26.999498091565
yangzhou_226_15	yangzhou_226_15	24.1317456502747
yangzhou_226_152	yangzhou_226_152	28.3470607380732
yangzhou_226_153	yangzhou_226_153	23.6449272481298
yangzhou_226_154	yangzhou_226_154	26.5980964521796
yangzhou_226_155	yangzhou_226_155	26.999498091565
yangzhou_226_156	yangzhou_226_156	26.1393517214534
yangzhou_226_157	yangzhou_226_157	26.0533370844422
yangzhou_226_158	yangzhou_226_158	26.9421550002242
yangzhou_226_159	yangzhou_226_159	28.5477615577659
yangzhou_226_160	yangzhou_226_160	26.7701257262019
yangzhou_226_161	yangzhou_226_161	24.1317456502747
yangzhou_226_16	yangzhou_226_16	25.6692546939016
yangzhou_226_162	yangzhou_226_162	25.4687100360372
yangzhou_226_163	yangzhou_226_163	25.2013171588847
yangzhou_226_164	yangzhou_226_164	21.7920579751903
yangzhou_226_165	yangzhou_226_165	25.5476347313656
yangzhou_226_166	yangzhou_226_166	25.5380651681666
yangzhou_226_167	yangzhou_226_167	25.9589303108168
yangzhou_226_168	yangzhou_226_168	25.8252338722405
yangzhou_226_169	yangzhou_226_169	24.8002278431559
yangzhou_226_170	yangzhou_226_170	25.7361029131897
yangzhou_226_171	yangzhou_226_171	20.2322661918008
yangzhou_226_17	yangzhou_226_17	27.9643768894605
yangzhou_226_172	yangzhou_226_172	26.9170881206132
yangzhou_226_173	yangzhou_226_173	24.5328349660034
yangzhou_226_174	yangzhou_226_174	27.541004833969
yangzhou_226_175	yangzhou_226_175	23.8420700333595
yangzhou_226_176	yangzhou_226_176	21.5469478378005
yangzhou_226_177	yangzhou_226_177	21.970319893292
yangzhou_226_178	yangzhou_226_178	21.5246650980378
yangzhou_226_179	yangzhou_226_179	20.4105281099024
yangzhou_226_180	yangzhou_226_180	26.4268678458336
yangzhou_226_18	yangzhou_226_18	25.6915374336643
